"","area","budget","year"
"sum","full","8906.79022838062","1990"
"1","Boreal","7201.35293065395","1990"
"2","Tundra","1699.18404184992","1990"
"11","siberia_tundra","524.816430752954","1990"
"21","east_siberia","2606.9413222706","1990"
"3","west_siberia","865.294675036092","1990"
"4","fenno","1630.06711802118","1990"
"5","alaska","481.449690869583","1990"
"6","canada_tundra","409.20083889759","1990"
"7","east_canada","1001.02608150794","1990"
"8","west_canada","1383.40709288168","1990"
"sum1","full","9245.93733646477","1991"
"12","Boreal","7481.19120724405","1991"
"22","Tundra","1758.6732073163","1991"
"111","siberia_tundra","562.281695460447","1991"
"211","east_siberia","2595.97340298425","1991"
"31","west_siberia","970.698925768242","1991"
"41","fenno","1747.76387373256","1991"
"51","alaska","465.020537840972","1991"
"61","canada_tundra","440.531488369698","1991"
"71","east_canada","1052.9506932009","1991"
"81","west_canada","1406.21461133378","1991"
"sum2","full","8098.90052450725","1992"
"13","Boreal","6601.73884755554","1992"
"23","Tundra","1491.4050161361","1992"
"112","siberia_tundra","443.333247674205","1992"
"212","east_siberia","2384.39351454037","1992"
"32","west_siberia","763.717831729325","1992"
"42","fenno","1618.76796665633","1992"
"52","alaska","400.904146214676","1992"
"62","canada_tundra","385.306075109093","1992"
"72","east_canada","889.196030637214","1992"
"82","west_canada","1209.00436058908","1992"
"sum3","full","8447.5401466231","1993"
"14","Boreal","6794.76303866827","1993"
"24","Tundra","1646.90210552667","1993"
"113","siberia_tundra","481.665955486177","1993"
"213","east_siberia","2392.26659167718","1993"
"33","west_siberia","829.540976633122","1993"
"43","fenno","1529.83152297274","1993"
"53","alaska","467.264401553862","1993"
"63","canada_tundra","433.016320126443","1993"
"73","east_canada","989.877935048142","1993"
"83","west_canada","1319.84815763211","1993"
"sum4","full","8792.58122096598","1994"
"15","Boreal","7108.26964733117","1994"
"25","Tundra","1678.27483462713","1994"
"114","siberia_tundra","487.186156923961","1994"
"214","east_siberia","2431.6193210848","1994"
"34","west_siberia","878.201211156141","1994"
"44","fenno","1611.59759741984","1994"
"54","alaska","445.984907787818","1994"
"64","canada_tundra","463.617352340073","1994"
"74","east_canada","1012.80783660677","1994"
"84","west_canada","1457.17174879076","1994"
"sum5","full","8968.4166626465","1995"
"16","Boreal","7251.11886757711","1995"
"26","Tundra","1711.18222286866","1995"
"115","siberia_tundra","522.585020556148","1995"
"215","east_siberia","2448.42671792154","1995"
"35","west_siberia","903.401168249624","1995"
"45","fenno","1741.39207638555","1995"
"55","alaska","469.846340011434","1995"
"65","canada_tundra","434.634104032965","1995"
"75","east_canada","1058.11551151721","1995"
"85","west_canada","1385.46908900587","1995"
"sum6","full","8356.36231622871","1996"
"17","Boreal","6763.20615262844","1996"
"27","Tundra","1587.35364268463","1996"
"116","siberia_tundra","457.069009824612","1996"
"216","east_siberia","2352.55594169563","1996"
"36","west_siberia","772.339887367996","1996"
"46","fenno","1583.80688707082","1996"
"56","alaska","424.091732386313","1996"
"66","canada_tundra","458.331293123135","1996"
"76","east_canada","1031.97282847064","1996"
"86","west_canada","1271.83010572666","1996"
"sum7","full","8888.74151095142","1997"
"18","Boreal","7194.67645289918","1997"
"28","Tundra","1687.93844580688","1997"
"117","siberia_tundra","495.421895067454","1997"
"217","east_siberia","2539.85349344643","1997"
"37","west_siberia","888.729055264723","1997"
"47","fenno","1665.2336137197","1997"
"57","alaska","485.229899581515","1997"
"67","canada_tundra","440.063072285291","1997"
"77","east_canada","1009.57477930484","1997"
"87","west_canada","1360.10947322255","1997"
"sum8","full","8988.70284730736","1998"
"19","Boreal","7245.3738891781","1998"
"29","Tundra","1737.22329827079","1998"
"118","siberia_tundra","485.601418952533","1998"
"218","east_siberia","2509.92225068551","1998"
"38","west_siberia","807.654617251654","1998"
"48","fenno","1590.80536638109","1998"
"58","alaska","427.545345657279","1998"
"68","canada_tundra","511.940358298158","1998"
"78","east_canada","1125.5954109404","1998"
"88","west_canada","1525.05026603809","1998"
"sum9","full","8654.40456785201","1999"
"110","Boreal","7064.10507265962","1999"
"210","Tundra","1584.26098611272","1999"
"119","siberia_tundra","469.954030182322","1999"
"219","east_siberia","2417.62925701955","1999"
"39","west_siberia","791.371490448428","1999"
"49","fenno","1684.59080946078","1999"
"59","alaska","430.702545366622","1999"
"69","canada_tundra","413.286988117725","1999"
"79","east_canada","1107.03245384605","1999"
"89","west_canada","1335.19773446912","1999"
"sum10","full","8722.00121484978","2000"
"120","Boreal","7086.57785420309","2000"
"220","Tundra","1629.4674966761","2000"
"1110","siberia_tundra","507.741850422625","2000"
"2110","east_siberia","2526.76927345266","2000"
"310","west_siberia","884.267903426861","2000"
"410","fenno","1739.52483131518","2000"
"510","alaska","389.714769383864","2000"
"610","canada_tundra","434.171045837313","2000"
"710","east_canada","1003.11347535301","2000"
"810","west_canada","1232.08053459811","2000"
"sum11","full","9077.84669997236","2001"
"121","Boreal","7388.05590541742","2001"
"221","Tundra","1683.77876813912","2001"
"1111","siberia_tundra","531.947613690803","2001"
"2111","east_siberia","2613.97836399238","2001"
"311","west_siberia","872.388658032067","2001"
"411","fenno","1734.68398008818","2001"
"511","alaska","399.775834433538","2001"
"611","canada_tundra","445.320335760803","2001"
"711","east_canada","1109.36205458974","2001"
"811","west_canada","1365.7714480215","2001"
"sum12","full","8743.74110767508","2002"
"122","Boreal","7068.00635391275","2002"
"222","Tundra","1669.51424606538","2002"
"1112","siberia_tundra","525.751082953611","2002"
"2112","east_siberia","2639.13657024497","2002"
"312","west_siberia","806.484048110419","2002"
"412","fenno","1702.11335657915","2002"
"512","alaska","438.080572732907","2002"
"612","canada_tundra","411.999611674164","2002"
"712","east_canada","991.05921311467","2002"
"812","west_canada","1224.36617575267","2002"
"sum13","full","8955.19567452755","2003"
"123","Boreal","7270.35839600477","2003"
"223","Tundra","1678.69484069537","2003"
"1113","siberia_tundra","523.807691790609","2003"
"2113","east_siberia","2483.17219288325","2003"
"313","west_siberia","932.744694609833","2003"
"413","fenno","1720.79382235916","2003"
"513","alaska","441.232140982034","2003"
"613","canada_tundra","422.61684645257","2003"
"713","east_canada","1085.84338239974","2003"
"813","west_canada","1340.26545244838","2003"
"sum14","full","8389.32354344242","2004"
"124","Boreal","6752.75719836118","2004"
"224","Tundra","1630.5186255444","2004"
"1114","siberia_tundra","487.383391262913","2004"
"2114","east_siberia","2306.09919013094","2004"
"314","west_siberia","832.861704147827","2004"
"414","fenno","1701.69396279098","2004"
"514","alaska","512.864056954242","2004"
"614","canada_tundra","377.135780815775","2004"
"714","east_canada","932.604638912424","2004"
"814","west_canada","1234.15644263856","2004"
"sum15","full","9293.59807947143","2005"
"125","Boreal","7606.22271338563","2005"
"225","Tundra","1681.24955293197","2005"
"1115","siberia_tundra","528.722154101511","2005"
"2115","east_siberia","2639.74917043647","2005"
"315","west_siberia","932.337992467744","2005"
"415","fenno","1834.67193412327","2005"
"515","alaska","484.837823914397","2005"
"615","canada_tundra","395.406053892081","2005"
"715","east_canada","1164.04100087574","2005"
"815","west_canada","1309.15630708648","2005"
"sum16","full","9191.83594674583","2006"
"126","Boreal","7491.86121492005","2006"
"226","Tundra","1693.70320713868","2006"
"1116","siberia_tundra","517.770352467322","2006"
"2116","east_siberia","2524.58850419455","2006"
"316","west_siberia","849.90486135498","2006"
"416","fenno","1822.50234202563","2006"
"516","alaska","423.619174221734","2006"
"616","canada_tundra","452.965206475994","2006"
"716","east_canada","1154.24406102805","2006"
"816","west_canada","1441.37547036467","2006"
"sum17","full","9068.20431638741","2007"
"127","Boreal","7346.06141549854","2007"
"227","Tundra","1716.06216917379","2007"
"1117","siberia_tundra","531.168584491386","2007"
"2117","east_siberia","2618.99792946388","2007"
"317","west_siberia","865.343426442271","2007"
"417","fenno","1812.14015229591","2007"
"517","alaska","484.843968617975","2007"
"617","canada_tundra","416.43798013037","2007"
"717","east_canada","1033.43958227015","2007"
"817","west_canada","1301.19941980715","2007"
"sum18","full","8870.00797395451","2008"
"128","Boreal","7222.57687800421","2008"
"228","Tundra","1641.41837535084","2008"
"1118","siberia_tundra","502.354333654995","2008"
"2118","east_siberia","2652.43408643359","2008"
"318","west_siberia","822.38398799031","2008"
"418","fenno","1658.25545557087","2008"
"518","alaska","411.650940845479","2008"
"618","canada_tundra","422.417518369632","2008"
"718","east_canada","1086.90999574813","2008"
"818","west_canada","1308.88850981869","2008"
"sum19","full","8827.54241421682","2009"
"129","Boreal","7173.93712997388","2009"
"229","Tundra","1647.61381336868","2009"
"1119","siberia_tundra","499.806976794481","2009"
"2119","east_siberia","2604.23802767285","2009"
"319","west_siberia","854.613485737267","2009"
"419","fenno","1746.12804003647","2009"
"519","alaska","449.825161205161","2009"
"619","canada_tundra","414.575254431222","2009"
"719","east_canada","970.457154666923","2009"
"819","west_canada","1283.38208462735","2009"
"sum20","full","9319.79946338964","2010"
"130","Boreal","7556.70953691656","2010"
"230","Tundra","1756.94544233682","2010"
"1120","siberia_tundra","526.387573849914","2010"
"2120","east_siberia","2694.09197379303","2010"
"320","west_siberia","818.967173872381","2010"
"420","fenno","1866.78381999041","2010"
"520","alaska","450.964299729982","2010"
"620","canada_tundra","454.895696467927","2010"
"720","east_canada","1117.87515842784","2010"
"820","west_canada","1385.08458390238","2010"
"sum21","full","9533.12189901619","2011"
"131","Boreal","7776.50674366048","2011"
"231","Tundra","1750.36901383603","2011"
"1121","siberia_tundra","536.148546791291","2011"
"2121","east_siberia","2839.13681997916","2011"
"321","west_siberia","923.090940050553","2011"
"421","fenno","1908.70439168367","2011"
"521","alaska","426.530424357231","2011"
"621","canada_tundra","450.878495309738","2011"
"721","east_canada","1068.12661218175","2011"
"821","west_canada","1375.6724779656","2011"
"sum22","full","9602.03440631683","2012"
"132","Boreal","7831.95196965462","2012"
"232","Tundra","1764.07847516347","2012"
"1122","siberia_tundra","548.73940232545","2012"
"2122","east_siberia","2771.10045090026","2012"
"322","west_siberia","970.158441455256","2012"
"422","fenno","1831.2421865458","2012"
"522","alaska","421.537710676967","2012"
"622","canada_tundra","473.810476899012","2012"
"722","east_canada","1154.17301032731","2012"
"822","west_canada","1426.57943773383","2012"
"sum23","full","9347.71658550217","2013"
"133","Boreal","7581.25094354881","2013"
"233","Tundra","1760.27683590874","2013"
"1123","siberia_tundra","543.350411443944","2013"
"2123","east_siberia","2681.38989244856","2013"
"323","west_siberia","833.361237815521","2013"
"423","fenno","1930.09690202915","2013"
"523","alaska","457.964988149401","2013"
"623","canada_tundra","437.664560730671","2013"
"723","east_canada","1027.02179401972","2013"
"823","west_canada","1432.19830775918","2013"
"sum24","full","9307.12055305133","2014"
"134","Boreal","7538.87742283512","2014"
"234","Tundra","1761.84768644857","2014"
"1124","siberia_tundra","524.305324706066","2014"
"2124","east_siberia","2822.32785998659","2014"
"324","west_siberia","811.252089901038","2014"
"424","fenno","1842.48101611553","2014"
"524","alaska","461.141339903012","2014"
"624","canada_tundra","462.776052903301","2014"
"724","east_canada","1045.05460884403","2014"
"824","west_canada","1332.84084609143","2014"
"sum25","full","9311.74579681656","2015"
"135","Boreal","7548.69319764541","2015"
"235","Tundra","1756.86479099014","2015"
"1125","siberia_tundra","542.029483518281","2015"
"2125","east_siberia","2783.51447875597","2015"
"325","west_siberia","868.917537237786","2015"
"425","fenno","1761.04424809348","2015"
"525","alaska","483.698874402217","2015"
"625","canada_tundra","432.425453113859","2015"
"725","east_canada","1039.79960039925","2015"
"825","west_canada","1395.73488438529","2015"
"sum26","full","9812.89025481641","2016"
"136","Boreal","7870.8692192541","2016"
"236","Tundra","1935.53846410154","2016"
"1126","siberia_tundra","620.243145769531","2016"
"2126","east_siberia","2722.70141164046","2016"
"326","west_siberia","999.244094535094","2016"
"426","fenno","1954.88374936264","2016"
"526","alaska","527.948504724329","2016"
"626","canada_tundra","469.279723651068","2016"
"726","east_canada","1068.80796594066","2016"
"826","west_canada","1444.93931359617","2016"
