"","area","budget","year"
"sum","full","-66.1520601325152","1990"
"1","Boreal","-174.300650254327","1990"
"2","Tundra","107.888495317648","1990"
"11","siberia_tundra","23.9067500292516","1990"
"21","east_siberia","-13.4666170528509","1990"
"3","west_siberia","-58.0808612987226","1990"
"4","fenno","-22.5750069916482","1990"
"5","alaska","4.90605511025396","1990"
"6","canada_tundra","30.2285304387978","1990"
"7","east_canada","-7.42855574105796","1990"
"8","west_canada","-23.7165321451723","1990"
"sum1","full","-53.9087366840884","1991"
"12","Boreal","-165.843737618985","1991"
"22","Tundra","111.540667428239","1991"
"111","siberia_tundra","25.0093967136583","1991"
"211","east_siberia","12.2943352883566","1991"
"31","west_siberia","-72.9385703810167","1991"
"41","fenno","-24.0544026540131","1991"
"51","alaska","8.96082614106704","1991"
"61","canada_tundra","24.880867017547","1991"
"71","east_canada","-11.8677764527574","1991"
"81","west_canada","-16.346341881903","1991"
"sum2","full","122.662472995462","1992"
"13","Boreal","-50.4428603320598","1992"
"23","Tundra","172.696665614428","1992"
"112","siberia_tundra","53.3638328073446","1992"
"212","east_siberia","48.0062685257045","1992"
"32","west_siberia","-39.2659801349529","1992"
"42","fenno","-17.5559321314866","1992"
"52","alaska","18.585664173708","1992"
"62","canada_tundra","42.7107401515588","1992"
"72","east_canada","8.32036683710404","1992"
"82","west_canada","8.32882412401184","1992"
"sum3","full","66.881103707184","1993"
"14","Boreal","-66.8696299092352","1993"
"24","Tundra","133.404846599127","1993"
"113","siberia_tundra","41.4118511940228","1993"
"213","east_siberia","56.2090814336034","1993"
"33","west_siberia","-43.1369128308264","1993"
"43","fenno","3.51577246851752","1993"
"53","alaska","5.95241760283752","1993"
"63","canada_tundra","30.2166824290383","1993"
"73","east_canada","-6.1811226037818","1993"
"83","west_canada","-21.249357090364","1993"
"sum4","full","-10.2243681956238","1994"
"15","Boreal","-131.456563971908","1994"
"25","Tundra","120.909306871098","1994"
"114","siberia_tundra","37.1360641784261","1994"
"214","east_siberia","42.813265042732","1994"
"34","west_siberia","-59.3934957382295","1994"
"44","fenno","-30.4734826042229","1994"
"54","alaska","10.6386662516468","1994"
"64","canada_tundra","19.7543695947925","1994"
"74","east_canada","0.510891929657","1994"
"84","west_canada","-31.335353582646","1994"
"sum5","full","-119.486456171158","1995"
"16","Boreal","-217.210831382733","1995"
"26","Tundra","97.421172394618","1995"
"115","siberia_tundra","26.2830219853456","1995"
"215","east_siberia","9.4819002890934","1995"
"35","west_siberia","-75.029972303938","1995"
"45","fenno","-49.0451109289852","1995"
"55","alaska","2.79398471479728","1995"
"65","canada_tundra","25.0793683840702","1995"
"75","east_canada","-16.0022773963005","1995"
"85","west_canada","-43.1431101060543","1995"
"sum6","full","40.581712168305","1996"
"17","Boreal","-92.7182623584746","1996"
"27","Tundra","132.943845879242","1996"
"116","siberia_tundra","45.0870467696582","1996"
"216","east_siberia","47.8972966909182","1996"
"36","west_siberia","-44.8602276765086","1996"
"46","fenno","-19.2210833179738","1996"
"56","alaska","8.04581475621512","1996"
"66","canada_tundra","17.7027119217612","1996"
"76","east_canada","-7.49698093878516","1996"
"86","west_canada","-6.70313052597972","1996"
"sum7","full","-100.692049367906","1997"
"18","Boreal","-215.134007193704","1997"
"28","Tundra","114.126520159331","1997"
"117","siberia_tundra","36.6788239199051","1997"
"217","east_siberia","-19.5622614456877","1997"
"37","west_siberia","-88.8575945344065","1997"
"47","fenno","-42.3195873847612","1997"
"57","alaska","-1.2572903192778","1997"
"67","canada_tundra","23.9880295762045","1997"
"77","east_canada","-1.72696741128124","1997"
"87","west_canada","-7.74344685266292","1997"
"sum8","full","-116.730415354255","1998"
"19","Boreal","-203.035267208559","1998"
"29","Tundra","86.0570436990645","1998"
"118","siberia_tundra","26.4046639584457","1998"
"218","east_siberia","1.40790925453464","1998"
"38","west_siberia","-46.4379182883598","1998"
"48","fenno","-23.44374563582","1998"
"58","alaska","13.855677063034","1998"
"68","canada_tundra","9.07328852969992","1998"
"78","east_canada","-36.4873409917238","1998"
"88","west_canada","-61.1412577254964","1998"
"sum9","full","-58.3176098191118","1999"
"110","Boreal","-188.119513810276","1999"
"210","Tundra","129.497638709063","1999"
"119","siberia_tundra","32.6298143818711","1999"
"219","east_siberia","10.2939952945345","1999"
"39","west_siberia","-51.1039120252212","1999"
"49","fenno","-36.1160709410451","1999"
"59","alaska","12.7146250530955","1999"
"69","canada_tundra","31.215403714155","1999"
"79","east_canada","-34.1201194642493","1999"
"89","west_canada","-23.8961402547678","1999"
"sum10","full","-85.4938913048578","2000"
"120","Boreal","-205.447537781022","2000"
"220","Tundra","119.627421245755","2000"
"1110","siberia_tundra","20.576582156674","2000"
"2110","east_siberia","-19.5976121737969","2000"
"310","west_siberia","-78.3857005425951","2000"
"410","fenno","-54.9919706678649","2000"
"510","alaska","26.7681552902777","2000"
"610","canada_tundra","27.3973421753593","2000"
"710","east_canada","-9.61789015624636","2000"
"810","west_canada","2.30191017841312","2000"
"sum11","full","-209.887380677944","2001"
"121","Boreal","-307.801924808309","2001"
"221","Tundra","97.6059165314926","2001"
"1111","siberia_tundra","12.6582290189328","2001"
"2111","east_siberia","-46.4380072841785","2001"
"311","west_siberia","-81.5045677762876","2001"
"411","fenno","-73.0603221282312","2001"
"511","alaska","24.2661855552718","2001"
"611","canada_tundra","22.2036753440604","2001"
"711","east_canada","-37.4811711502404","2001"
"811","west_canada","-30.591007146358","2001"
"sum12","full","-170.555633509868","2002"
"122","Boreal","-266.773844332964","2002"
"222","Tundra","96.0027160687936","2002"
"1112","siberia_tundra","16.6398780139188","2002"
"2112","east_siberia","-76.5464748634886","2002"
"312","west_siberia","-64.9271173314893","2002"
"412","fenno","-70.6420621714136","2002"
"512","alaska","10.191756543532","2002"
"612","canada_tundra","29.4766406300518","2002"
