"","area","mean","year","month","region_summary"
"1","full","818.521969806557","1990","01","full"
"2","full","825.139588704248","2000","01","full"
"3","full","885.417771035879","2010","01","full"
"4","Boreal","923.18938706574","1990","01","biome"
"5","Tundra","611.885783287172","1990","01","biome"
"6","Boreal","928.022489363977","2000","01","biome"
"7","Tundra","622.036309362967","2000","01","biome"
"8","Boreal","991.991344582729","2010","01","biome"
"9","Tundra","675.201065662366","2010","01","biome"
"10","siberia_tundra","585.107270622896","1990","01","region"
"11","east_siberia","938.005765720032","1990","01","region"
"12","west_siberia","722.616936895791","1990","01","region"
"13","fenno","990.872108617454","1990","01","region"
"14","alaska","811.758752073373","1990","01","region"
"15","canada_tundra","442.371107399091","1990","01","region"
"16","east_canada","912.711679974449","1990","01","region"
"17","west_canada","846.045743045784","1990","01","region"
"18","siberia_tundra","600.502022832492","2000","01","region"
"19","east_siberia","945.874204602033","2000","01","region"
"20","west_siberia","709.65977772703","2000","01","region"
"21","fenno","990.670439083516","2000","01","region"
"22","alaska","818.704961459655","2000","01","region"
"23","canada_tundra","459.024492031327","2000","01","region"
"24","east_canada","924.977147876078","2000","01","region"
"25","west_canada","849.454618465202","2000","01","region"
"26","siberia_tundra","674.530975679413","2010","01","region"
"27","east_siberia","1033.65370534886","2010","01","region"
"28","west_siberia","765.404403049185","2010","01","region"
"29","fenno","985.887229657268","2010","01","region"
"30","alaska","873.111300057148","2010","01","region"
"31","canada_tundra","501.930460907732","2010","01","region"
"32","east_canada","997.693968152576","2010","01","region"
"33","west_canada","920.2869141682","2010","01","region"
"34","full","744.808439191908","1990","02","full"
"35","full","753.68275830775","2000","02","full"
"36","full","827.053880820101","2010","02","full"
"37","Boreal","840.028103474078","1990","02","biome"
"38","Tundra","556.807092312369","1990","02","biome"
"39","Boreal","843.665230571887","2000","02","biome"
"40","Tundra","576.035902350875","2000","02","biome"
"41","Boreal","919.720071466748","2010","02","biome"
"42","Tundra","644.253454898138","2010","02","biome"
"43","siberia_tundra","530.997295875421","1990","02","region"
"44","east_siberia","856.188020462156","1990","02","region"
"45","west_siberia","670.450213138464","1990","02","region"
"46","fenno","893.798944322803","1990","02","region"
"47","alaska","759.25476144014","1990","02","region"
"48","canada_tundra","393.458686127389","1990","02","region"
"49","east_canada","813.882373043756","1990","02","region"
"50","west_canada","775.847944582747","1990","02","region"
"51","siberia_tundra","552.393660563973","2000","02","region"
"52","east_siberia","870.652035964972","2000","02","region"
"53","west_siberia","662.147800106569","2000","02","region"
"54","fenno","883.010898889584","2000","02","region"
"55","alaska","792.803956483559","2000","02","region"
"56","canada_tundra","416.870494002957","2000","02","region"
"57","east_canada","820.794487384222","2000","02","region"
"58","west_canada","772.477038640546","2000","02","region"
"59","siberia_tundra","637.40272516835","2010","02","region"
"60","east_siberia","978.447814669101","2010","02","region"
"61","west_siberia","711.271300253374","2010","02","region"
"62","fenno","915.908583381742","2010","02","region"
"63","alaska","837.012586593814","2010","02","region"
"64","canada_tundra","475.703872063092","2010","02","region"
"65","east_canada","899.411178537209","2010","02","region"
"66","west_canada","839.701229261052","2010","02","region"
"67","full","748.560851463305","1990","03","full"
"68","full","761.169702745098","2000","03","full"
"69","full","808.985572195553","2010","03","full"
"70","Boreal","858.576376696954","1990","03","biome"
"71","Tundra","531.380443997838","1990","03","biome"
"72","Boreal","865.989552538749","2000","03","biome"
"73","Tundra","554.296234715936","2000","03","biome"
"74","Boreal","905.151792318852","2010","03","biome"
"75","Tundra","619.281755146158","2010","03","biome"
"76","siberia_tundra","502.734893202862","1990","03","region"
"77","east_siberia","841.697981119366","1990","03","region"
"78","west_siberia","700.403691862678","1990","03","region"
"79","fenno","912.756238270253","1990","03","region"
"80","alaska","738.810327836862","1990","03","region"
"81","canada_tundra","369.045180458952","1990","03","region"
"82","east_canada","901.320891089109","1990","03","region"
"83","west_canada","791.047126312371","1990","03","region"
"84","siberia_tundra","535.197766729798","2000","03","region"
"85","east_siberia","855.230313473197","2000","03","region"
"86","west_siberia","713.371656390348","2000","03","region"
"87","fenno","901.917350250235","2000","03","region"
"88","alaska","757.287832959313","2000","03","region"
"89","canada_tundra","401.144539679062","2000","03","region"
"90","east_canada","913.390469498563","2000","03","region"
"91","west_canada","793.457895876177","2000","03","region"
"92","siberia_tundra","616.02003291847","2010","03","region"
"93","east_siberia","927.953308852755","2010","03","region"
"94","west_siberia","748.144999401907","2010","03","region"
"95","fenno","905.683928012869","2010","03","region"
"96","alaska","804.560612185161","2010","03","region"
"97","canada_tundra","446.633664024786","2010","03","region"
"98","east_canada","930.837030615504","2010","03","region"
"99","west_canada","837.910466500703","2010","03","region"
"100","full","554.894388998077","1990","04","full"
"101","full","544.008038730207","2000","04","full"
"102","full","544.601997608734","2010","04","full"
"103","Boreal","586.769547835382","1990","04","biome"
"104","Tundra","492.058586097413","1990","04","biome"
"105","Boreal","563.262084019241","2000","04","biome"
"106","Tundra","506.193714956428","2000","04","biome"
"107","Boreal","541.968138046881","2010","04","biome"
"108","Tundra","549.966786413951","2010","04","biome"
"109","siberia_tundra","445.547324810606","1990","04","region"
"110","east_siberia","726.99007644021","1990","04","region"
"111","west_siberia","301.198169292837","1990","04","region"
"112","fenno","540.475793712856","1990","04","region"
"113","alaska","738.205888379354","1990","04","region"
"114","canada_tundra","309.48496631798","1990","04","region"
"115","east_canada","635.874912168636","1990","04","region"
"116","west_canada","481.920969801927","1990","04","region"
"117","siberia_tundra","460.414183501684","2000","04","region"
"118","east_siberia","721.781696328332","2000","04","region"
"119","west_siberia","345.275964832153","2000","04","region"
"120","fenno","409.610627150454","2000","04","region"
"121","alaska","769.994233583764","2000","04","region"
"122","canada_tundra","323.431866476806","2000","04","region"
"123","east_canada","610.670198019802","2000","04","region"
"124","west_canada","510.255341487174","2000","04","region"
"125","siberia_tundra","527.320665734728","2010","04","region"
"126","east_siberia","749.707117265502","2010","04","region"
"127","west_siberia","180.467561630727","2010","04","region"
"128","fenno","369.587534630681","2010","04","region"
"129","alaska","759.60214236929","2010","04","region"
"130","canada_tundra","341.248961373256","2010","04","region"
"131","east_canada","580.238207783912","2010","04","region"
"132","west_canada","546.888636679913","2010","04","region"
"133","full","-258.377486790718","1990","05","full"
"134","full","-328.568575950177","2000","05","full"
"135","full","-461.878686109567","2010","05","full"
"136","Boreal","-603.729707749866","1990","05","biome"
"137","Tundra","423.223277376208","1990","05","biome"
"138","Boreal","-712.450023303047","2000","05","biome"
"139","Tundra","429.229861345673","2000","05","biome"
"140","Boreal","-910.923022982362","2010","05","biome"
"141","Tundra","424.365829561575","2010","05","biome"
"142","siberia_tundra","481.027385837542","1990","05","region"
