"","area","mean","year"
"Percent_NonTree_Vegetation_VCF5KYR_1982001","full","57.4299129650706","1990"
"1","Boreal","50.1623536006387","1990"
"2","Tundra","71.1162142206303","1990"
"11","siberia_tundra","79.6678364049482","1990"
"21","east_siberia","57.9569794317012","1990"
"3","west_siberia","46.9818915011793","1990"
"4","fenno","45.3041762276274","1990"
"5","alaska","65.4903675301599","1990"
"6","canada_tundra","69.0690591900312","1990"
"7","east_canada","43.8672432295941","1990"
"8","west_canada","53.4820363792918","1990"
"Percent_NonTree_Vegetation_VCF5KYR_1983001","full","60.8447611350278","1991"
"12","Boreal","54.6999821645448","1991"
"22","Tundra","72.4763408426807","1991"
"111","siberia_tundra","80.7468316081797","1991"
"211","east_siberia","62.5271330627149","1991"
"31","west_siberia","50.9221258464582","1991"
"41","fenno","48.1526571821937","1991"
"51","alaska","69.8505564387917","1991"
"61","canada_tundra","69.2556510903427","1991"
"71","east_canada","48.24717505208","1991"
"81","west_canada","58.4307178990421","1991"
"Percent_NonTree_Vegetation_VCF5KYR_1984001","full","61.5644074972097","1992"
"13","Boreal","55.8679539335672","1992"
"23","Tundra","72.3715241775851","1992"
"112","siberia_tundra","81.0631406210553","1992"
"212","east_siberia","62.9872297861596","1992"
"32","west_siberia","52.1777371985087","1992"
"42","fenno","49.5794401101423","1992"
"52","alaska","68.2994482371645","1992"
"62","canada_tundra","69.8301806853583","1992"
"72","east_canada","52.071965153715","1992"
"82","west_canada","57.9980841674739","1992"
"Percent_NonTree_Vegetation_VCF5KYR_1985001","full","62.1943523512626","1993"
"14","Boreal","56.4445274878337","1993"
"24","Tundra","73.1011012662205","1993"
"113","siberia_tundra","81.4689724816965","1993"
"213","east_siberia","64.2799638743761","1993"
"33","west_siberia","52.4647721220421","1993"
"43","fenno","50.8233685176687","1993"
"53","alaska","69.6514542223885","1993"
"63","canada_tundra","70.1540436137072","1993"
"73","east_canada","49.3192980241146","1993"
"83","west_canada","59.0730599504897","1993"
"Percent_NonTree_Vegetation_VCF5KYR_1986001","full","61.9166762883424","1994"
"15","Boreal","56.0080854063511","1994"
"25","Tundra","73.116237785528","1994"
"114","siberia_tundra","82.2194142893209","1994"
"214","east_siberia","63.3603919435974","1994"
"34","west_siberia","58.0366735144183","1994"
"44","fenno","50.3284075263883","1994"
"54","alaska","68.6002057420743","1994"
"64","canada_tundra","69.637707165109","1994"
"74","east_canada","48.1193422132441","1994"
"84","west_canada","57.4785060811538","1994"
"Percent_NonTree_Vegetation_VCF5KYR_1987001","full","61.2557551366003","1995"
"16","Boreal","55.2860297427448","1995"
"26","Tundra","72.5635623841393","1995"
"115","siberia_tundra","81.7968694774047","1995"
"215","east_siberia","64.1766368209451","1995"
"35","west_siberia","50.4366963402572","1995"
"45","fenno","49.8830105553006","1995"
"55","alaska","67.1416814738614","1995"
"65","canada_tundra","69.0349408099688","1995"
