"","area","mean","year"
"Percent_NonVegetated_VCF5KYR_1982001","full","8.11608139387842","1990"
"1","Boreal","3.08607305742167","1990"
"2","Tundra","17.374477644767","1990"
"11","siberia_tundra","10.0970966927544","1990"
"21","east_siberia","3.94445199759163","1990"
"3","west_siberia","2.05249942935403","1990"
"4","fenno","10.5061955025241","1990"
"5","alaska","7.76391096979332","1990"
"6","canada_tundra","25.4036137071651","1990"
"7","east_canada","3.51818067041222","1990"
"8","west_canada","4.61986869013023","1990"
"Percent_NonVegetated_VCF5KYR_1983001","full","8.41738554329479","1991"
"12","Boreal","3.41587610303797","1991"
"22","Tundra","17.6231894303579","1991"
"111","siberia_tundra","9.71522342842716","1991"
"211","east_siberia","4.3596053372696","1991"
"31","west_siberia","2.37849045119075","1991"
"41","fenno","10.6247085819183","1991"
"51","alaska","8.61685214626391","1991"
"61","canada_tundra","25.8557757009346","1991"
"71","east_canada","3.50681775140458","1991"
"81","west_canada","5.28759014099666","1991"
"Percent_NonVegetated_VCF5KYR_1984001","full","8.16912706659849","1992"
"13","Boreal","3.30100303202738","1992"
"23","Tundra","17.1272190278694","1992"
"112","siberia_tundra","9.27546074223681","1992"
"212","east_siberia","4.33953230912658","1992"
"32","west_siberia","2.17153617895458","1992"
"42","fenno","10.4950344194585","1992"
"52","alaska","8.00593846441597","1992"
"62","canada_tundra","24.9436760124611","1992"
"72","east_canada","3.72208193927151","1992"
"82","west_canada","4.95615111398127","1992"
"Percent_NonVegetated_VCF5KYR_1985001","full","8.68128061754664","1993"
"14","Boreal","3.62968923842606","1993"
"24","Tundra","17.9843057781129","1993"
"113","siberia_tundra","10.6277455188084","1993"
"213","east_siberia","4.7795560044283","1993"
"33","west_siberia","2.4462071064445","1993"
"43","fenno","10.4762918770078","1993"
"53","alaska","9.39918638361545","1993"
"63","canada_tundra","25.5153146417445","1993"
"73","east_canada","3.82090777097405","1993"
"83","west_canada","5.50029060381014","1993"
"Percent_NonVegetated_VCF5KYR_1986001","full","8.39714978474937","1994"
"15","Boreal","3.36944022149937","1994"
"25","Tundra","17.6543579350866","1994"
"114","siberia_tundra","10.3083312294875","1994"
"214","east_siberia","4.2404781789578","1994"
"34","west_siberia","2.92642471277486","1994"
"44","fenno","10.4600091785223","1994"
"54","alaska","8.90512484803142","1994"
"64","canada_tundra","25.7431775700935","1994"
"74","east_canada","3.4147465437788","1994"
"84","west_canada","4.79769669572705","1994"
"Percent_NonVegetated_VCF5KYR_1987001","full","8.40768414512786","1995"
"16","Boreal","3.36651435754142","1995"
"26","Tundra","17.6887862506677","1995"
"115","siberia_tundra","10.3437515778844","1995"
"215","east_siberia","4.38728222658147","1995"
"35","west_siberia","2.14011260747166","1995"
"45","fenno","10.596475447453","1995"
"55","alaska","7.70536799775554","1995"
"65","canada_tundra","26.1319127725857","1995"
"75","east_canada","3.66722429139575","1995"
"85","west_canada","4.85067269400495","1995"
"Percent_NonVegetated_VCF5KYR_1988001","full","8.09922421803267","1996"
"17","Boreal","3.12951513041115","1996"
"27","Tundra","17.2380918716813","1996"
"116","siberia_tundra","10.5947235546579","1996"
"216","east_siberia","3.84016353642667","1996"
"36","west_siberia","2.17678612188998","1996"
"46","fenno","10.3632491968793","1996"
"56","alaska","8.66202188347517","1996"
"66","canada_tundra","24.694554517134","1996"
"76","east_canada","3.56574711192475","1996"
"86","west_canada","4.56189861155957","1996"
"Percent_NonVegetated_VCF5KYR_1989001","full","8.13468696565337","1997"
"18","Boreal","3.31453249874727","1997"
"28","Tundra","17.0098344173186","1997"
"117","siberia_tundra","11.3097450138854","1997"
"217","east_siberia","4.1818808631305","1997"
"37","west_siberia","2.2596819599787","1997"
"47","fenno","10.1720055071134","1997"
"57","alaska","7.69049845693444","1997"
"67","canada_tundra","23.5810093457944","1997"
"77","east_canada","4.11034656902973","1997"
"87","west_canada","4.69710472500269","1997"
"Percent_NonVegetated_VCF5KYR_1990001","full","8.11431100554758","1998"
"19","Boreal","3.43223800990292","1998"
"29","Tundra","16.7317057843969","1998"
"118","siberia_tundra","9.29424387780863","1998"
"218","east_siberia","4.25959951055606","1998"
"38","west_siberia","2.41040858251541","1998"
"48","fenno","10.2959889857733","1998"
"58","alaska","7.36767043860469","1998"
"68","canada_tundra","24.4178442367601","1998"
"78","east_canada","4.29704564105801","1998"
"88","west_canada","5.14760520934237","1998"
