"","area","mean","year"
"Percent_TreeCover_VCF5KYR_1982001","full","33.195913811778","1990"
"1","Boreal","46.1096455840262","1990"
"2","Tundra","9.51358123605744","1990"
"11","siberia_tundra","8.80060590759909","1990"
"21","east_siberia","37.8621593800377","1990"
"3","west_siberia","50.7711329224682","1990"
"4","fenno","42.2529600734282","1990"
"5","alaska","25.2811652482933","1990"
"6","canada_tundra","3.06576947040498","1990"
"7","east_canada","51.7796224985796","1990"
"8","west_canada","40.517253255839","1990"
"Percent_TreeCover_VCF5KYR_1983001","full","29.4802205837883","1991"
"12","Boreal","41.2431015007262","1991"
"22","Tundra","7.9044757595752","1991"
"111","siberia_tundra","8.10055541529917","1991"
"211","east_siberia","32.8774933478354","1991"
"31","west_siberia","46.5052499429354","1991"
"41","fenno","39.2866452501147","1991"
"51","alaska","20.0659777424483","1991"
"61","canada_tundra","2.42636760124611","1991"
"71","east_canada","47.4116533047156","1991"
"81","west_canada","34.9055429986008","1991"
"Percent_TreeCover_VCF5KYR_1984001","full","29.0095886871086","1992"
"13","Boreal","40.1899306115863","1992"
"23","Tundra","8.50764288182989","1992"
"112","siberia_tundra","8.22792224185812","1992"
"212","east_siberia","32.4359935517703","1992"
"32","west_siberia","45.4586471886175","1992"
"42","fenno","37.9899586966498","1992"
"52","alaska","22.2320209482839","1992"
"62","canada_tundra","2.7662554517134","1992"
"72","east_canada","43.3724512341393","1992"
"82","west_canada","35.6698955978904","1992"
"Percent_TreeCover_VCF5KYR_1985001","full","27.866833259109","1993"
"14","Boreal","39.2850572857834","1993"
"24","Tundra","6.91823765984855","1993"
"113","siberia_tundra","6.4668013127998","1993"
"213","east_siberia","30.7048284032863","1993"
"33","west_siberia","44.9005554287453","1993"
"43","fenno","36.7627535566774","1993"
"53","alaska","19.4798466286356","1993"
"63","canada_tundra","1.87070404984424","1993"
"73","east_canada","46.0247459125055","1993"
"83","west_canada","34.0487568614789","1993"
"Percent_TreeCover_VCF5KYR_1986001","full","28.4284092346094","1994"
"15","Boreal","39.9805338746252","1994"
"25","Tundra","7.23472994627203","1994"
"114","siberia_tundra","6.03855087099217","1994"
"214","east_siberia","32.1630120224523","1994"
"34","west_siberia","38.8415506353192","1994"
"44","fenno","37.2747498852685","1994"
"54","alaska","21.0234733002899","1994"
"64","canada_tundra","2.15960124610592","1994"
"74","east_canada","47.632378006439","1994"
"84","west_canada","36.3453449574857","1994"
"Percent_TreeCover_VCF5KYR_1987001","full","29.0801595548738","1995"
"16","Boreal","40.7069931970478","1995"
"26","Tundra","7.75406887234109","1995"
"115","siberia_tundra","6.42676091895986","1995"
"215","east_siberia","31.2033911472799","1995"
"35","west_siberia","47.2295138096325","1995"
"45","fenno","37.5836805874254","1995"
"55","alaska","23.6841391564575","1995"
"65","canada_tundra","2.37288473520249","1995"
"75","east_canada","47.5422006186478","1995"
"85","west_canada","36.7905930470348","1995"
"Percent_TreeCover_VCF5KYR_1988001","full","30.6802964575739","1996"
"17","Boreal","42.5585002930111","1996"
"27","Tundra","8.89678574794986","1996"
"116","siberia_tundra","8.0345367331482","1996"
"216","east_siberia","33.9203002699711","1996"
"36","west_siberia","46.9345278855665","1996"
"46","fenno","40.0096741624598","1996"
"56","alaska","20.8401758159544","1996"
"66","canada_tundra","3.35130218068536","1996"
"76","east_canada","48.4515182122341","1996"
"86","west_canada","39.0827252179529","1996"
"Percent_TreeCover_VCF5KYR_1989001","full","29.2926089036238","1997"
"18","Boreal","40.8351919010047","1997"
"28","Tundra","8.11887705407359","1997"
"117","siberia_tundra","6.3644029285534","1997"
"217","east_siberia","32.2312234156195","1997"
"37","west_siberia","45.9921250855969","1997"
"47","fenno","39.97971546581","1997"
"57","alaska","22.2825212756009","1997"
"67","canada_tundra","2.67466666666667","1997"
"77","east_canada","43.8526608168676","1997"
"87","west_canada","37.0115595737811","1997"
"Percent_TreeCover_VCF5KYR_1990001","full","28.8573105492052","1998"
"19","Boreal","40.1607569027458","1998"
"29","Tundra","8.12165771200553","1998"
"118","siberia_tundra","7.51936379702095","1998"
"218","east_siberia","33.6453085244819","1998"
"38","west_siberia","44.4764132998554","1998"
"48","fenno","37.1788526847178","1998"
"58","alaska","22.5998316655756","1998"
"68","canada_tundra","2.10953271028037","1998"
"78","east_canada","42.6643835616438","1998"
"88","west_canada","34.7790119470455","1998"
"Percent_TreeCover_VCF5KYR_1991001","full","35.8615633298695","1999"
"110","Boreal","49.1294259531352","1999"
"210","Tundra","11.5410814717064","1999"
"119","siberia_tundra","11.2338045947993","1999"
"219","east_siberia","42.5344455882067","1999"
"39","west_siberia","57.0442440843034","1999"
"49","fenno","45.4523542909592","1999"
"59","alaska","31.4961657158889","1999"
"69","canada_tundra","2.70377570093458","1999"
"79","east_canada","47.2280790354144","1999"
"89","west_canada","42.2075126466473","1999"
"Percent_TreeCover_VCF5KYR_1992001","full","31.6140525948285","2000"
"120","Boreal","44.0655410512727","2000"
"220","Tundra","8.7764398152512","2000"
"1110","siberia_tundra","8.83961120929058","2000"
"2110","east_siberia","37.8543612950842","2000"
"310","west_siberia","49.1052651601613","2000"
"410","fenno","40.2167232675539","2000"
"510","alaska","20.7515196857757","2000"
"610","canada_tundra","2.66631775700935","2000"
"710","east_canada","46.6406476863834","2000"
"810","west_canada","37.3844580777096","2000"
