"","area","budget","year"
"sum","full","8891.94914214919","1990"
"1","Boreal","6992.46709973215","1990"
"2","Tundra","1892.54703612915","1990"
"11","siberia_tundra","576.443240439293","1990"
"21","east_siberia","2519.63342358002","1990"
"3","west_siberia","811.184804104858","1990"
"4","fenno","1668.34453976355","1990"
"5","alaska","476.122440120163","1990"
"6","canada_tundra","474.679796228361","1990"
"7","east_canada","996.644442717846","1990"
"8","west_canada","1363.97545849822","1990"
"sum1","full","9261.6577338958","1991"
"12","Boreal","7313.475412573","1991"
"22","Tundra","1941.24995261617","1991"
"111","siberia_tundra","605.50329331105","1991"
"211","east_siberia","2520.34812177146","1991"
"31","west_siberia","901.555571903142","1991"
"41","fenno","1801.92614832138","1991"
"51","alaska","472.826743396326","1991"
"61","canada_tundra","490.728103427429","1991"
"71","east_canada","1055.40958714811","1991"
"81","west_canada","1408.4148721011","1991"
"sum2","full","8328.49211524353","1992"
"13","Boreal","6550.51300369413","1992"
"23","Tundra","1771.30444681853","1992"
"112","siberia_tundra","532.549739883563","1992"
"212","east_siberia","2385.37338985877","1992"
"32","west_siberia","726.491458898209","1992"
"42","fenno","1656.55637161771","1992"
"52","alaska","421.19362261003","1992"
"62","canada_tundra","458.333311645059","1992"
"72","east_canada","902.386609635319","1992"
"82","west_canada","1240.86670870663","1992"
"sum3","full","8615.56643964844","1993"
"14","Boreal","6736.1042270475","1993"
"24","Tundra","1872.77780608407","1993"
"113","siberia_tundra","553.983280022669","1993"
"213","east_siberia","2397.07407407226","1993"
"33","west_siberia","783.0628849517","1993"
"43","fenno","1590.94469539254","1993"
"53","alaska","469.649725912403","1993"
"63","canada_tundra","492.931059094853","1993"
"73","east_canada","999.032818511364","1993"
"83","west_canada","1324.22220333954","1993"
"sum4","full","8869.79281126378","1994"
"15","Boreal","6974.16969357916","1994"
"25","Tundra","1888.80083059334","1994"
"114","siberia_tundra","559.441633795731","1994"
"214","east_siberia","2425.12014610841","1994"
"34","west_siberia","818.885781829239","1994"
"44","fenno","1654.80112144452","1994"
"54","alaska","452.579763287867","1994"
"64","canada_tundra","506.71515684026","1994"
"74","east_canada","1016.91077961071","1994"
"84","west_canada","1430.51247396592","1994"
"sum5","full","8927.4856673458","1995"
"16","Boreal","7023.92405298532","1995"
"26","Tundra","1896.74043000277","1995"
"115","siberia_tundra","578.429663161649","1995"
"215","east_siberia","2410.02813267131","1995"
"35","west_siberia","834.842541687087","1995"
"45","fenno","1758.80384971016","1995"
"55","alaska","468.191952684106","1995"
"65","canada_tundra","489.054280737039","1995"
"75","east_canada","1044.93958658913","1995"
"85","west_canada","1338.29026202013","1995"
"sum6","full","8488.28982201809","1996"
"17","Boreal","6658.59123842726","1996"
"27","Tundra","1823.08843829308","1996"
"116","siberia_tundra","537.50243828345","1996"
"216","east_siberia","2339.92117961313","1996"
"36","west_siberia","735.603061233605","1996"
"46","fenno","1638.81172295599","1996"
"56","alaska","432.877536170254","1996"
"66","canada_tundra","502.742122268589","1996"
"76","east_canada","1022.31440839392","1996"
"86","west_canada","1273.73209670955","1996"
"sum7","full","8887.18628458706","1997"
"18","Boreal","6990.59402936758","1997"
"28","Tundra","1889.67568206561","1997"
"117","siberia_tundra","560.215036414339","1997"
"217","east_siberia","2474.87707496187","1997"
"37","west_siberia","804.533338476646","1997"
"47","fenno","1701.22784678385","1997"
"57","alaska","482.850634122454","1997"
"67","canada_tundra","494.077161034288","1997"
"77","east_canada","1008.57672770684","1997"
"87","west_canada","1355.87359898","1997"
"sum8","full","8908.91016350395","1998"
"19","Boreal","6992.47563590422","1998"
"29","Tundra","1909.64546677954","1998"
"118","siberia_tundra","547.894716283729","1998"
"218","east_siberia","2431.74458823615","1998"
"38","west_siberia","766.332470183012","1998"
"48","fenno","1629.52819049645","1998"
"58","alaska","443.133141694379","1998"
"68","canada_tundra","536.643857783205","1998"
"78","east_canada","1086.84274596891","1998"
"88","west_canada","1461.90365216393","1998"
"sum9","full","8668.31190306259","1999"
"110","Boreal","6860.27504238627","1999"
"210","Tundra","1801.29240446014","1999"
"119","siberia_tundra","535.126517452889","1999"
"219","east_siberia","2363.72724460503","1999"
"39","west_siberia","751.590845461033","1999"
"49","fenno","1706.26765684652","1999"
