"","x"
"1","tmean"
"2","tmean"
"3","tmean"
"4","tmean"
"5","tmean"
"6","tmean"
"7","vpd"
"8","vpd"
"9","tmean"
"10","tmean"
"11","tmean"
"12","vpd"
"13","tmean"
"14","vpd"
"15","vpd"
"16","tmean"
"17","vpd"
"18","tmean"
"19","vpd"
"20","tmean"
"21","tmean"
"22","tmean"
"23","tmean"
"24",NA
"25","vpd"
"26","tmean"
"27","tmean"
"28","vpd"
"29","vpd"
"30","tmean"
"31","tmean"
"32","tmean"
"33","tmean"
"34","tmean"
"35","tmean"
"36","vpd"
"37","tmean"
"38","tmean"
"39","tmean"
"40","tmean"
"41","tmean"
"42","tmean"
"43","vpd"
"44","vpd"
"45","vpd"
"46","tmean"
"47","tmean"
"48","tmean"
"49","vpd"
"50","tmean"
"51","vpd"
"52","vpd"
"53","vpd"
"54","vpd"
"55","tmean"
"56","tmean"
"57","tmean"
"58","tmean"
"59","vpd"
"60","vpd"
"61","vpd"
"62","vpd"
"63","vpd"
"64","vpd"
"65","vpd"
"66","vpd"
"67","vpd"
"68","tmean"
"69","vpd"
"70","tmean"
"71","tmean"
"72","tmean"
"73","vpd"
"74","vpd"
"75","tmean"
"76","vpd"
"77","vpd"
"78","vpd"
"79","tmean"
"80","vpd"
"81","vpd"
"82","vpd"
"83","vpd"
"84","vpd"
"85","vpd"
"86","tmean"
"87","vpd"
"88","tmean"
"89","vpd"
"90","tmean"
"91","vpd"
"92","vpd"
"93","vpd"
"94","vpd"
"95","tmean"
"96","vpd"
"97","vpd"
"98","vpd"
"99","vpd"
"100","tmean"
"101","vpd"
"102","tmean"
"103","tmean"
"104","tmean"
"105","tmean"
"106","tmean"
"107","tmean"
"108","vpd"
"109","vpd"
"110","vpd"
"111","vpd"
"112","vpd"
"113","vpd"
"114","vpd"
"115","vpd"
"116","vpd"
"117","vpd"
"118","tmean"
"119","vpd"
"120","ndvi"
"121","vpd"
"122","vpd"
"123","tmean"
"124","tmean"
"125","vpd"
"126","ndvi"
"127","tmean"
"128",NA
"129","vpd"
"130","vpd"
"131","vpd"
"132","vpd"
"133","vpd"
"134","vpd"
"135",NA
"136","tmean"
"137","tmean"
"138","tmean"
"139","vpd"
"140","vpd"
"141","vpd"
"142","tmean"
"143","vpd"
"144","vpd"
"145",NA
"146","tmean"
"147","vpd"
"148","vpd"
"149",NA
"150","vpd"
"151","vpd"
"152","tmean"
"153","tmean"
"154","tmean"
"155","tmean"
"156","tmean"
"157","tmean"
"158","vpd"
"159","tmean"
"160","vpd"
"161","vpd"
"162","tmean"
"163","vpd"
"164","vpd"
"165","tmean"
"166",NA
"167",NA
"168","vpd"
"169",NA
"170","tmean"
"171","tmean"
"172","tmean"
"173","tmean"
"174","tmean"
"175","vpd"
"176","vpd"
"177","vpd"
"178","vpd"
"179","vpd"
"180","vpd"
"181","vpd"
"182","vpd"
"183","tmean"
"184","vpd"
"185","tmean"
"186","tmean"
