"","area","mean","year"
"mean","full","2649.87075638191","1990"
"1","Boreal","3449.6252830534","1990"
"2","Tundra","1188.58132001832","1990"
"11","siberia_tundra","1599.60408103073","1990"
"21","east_siberia","2989.23905790927","1990"
"3","west_siberia","3929.50105783505","1990"
"4","fenno","2877.06871566657","1990"
"5","alaska","2552.02335985178","1990"
"6","canada_tundra","497.893567332659","1990"
"7","east_canada","3622.46501075442","1990"
"8","west_canada","3084.32790279127","1990"
"mean1","full","2659.57916182064","1991"
"12","Boreal","3449.06662585053","1991"
"22","Tundra","1217.28230185263","1991"
"111","siberia_tundra","1618.20507586751","1991"
"211","east_siberia","2992.20657085155","1991"
"31","west_siberia","3610.11352720317","1991"
"41","fenno","3016.92641599786","1991"
"51","alaska","2734.70610519053","1991"
"61","canada_tundra","480.30057761105","1991"
"71","east_canada","3613.40391273097","1991"
"81","west_canada","3091.95055682472","1991"
"mean2","full","2759.75256377377","1992"
"13","Boreal","3584.81544834089","1992"
"23","Tundra","1252.35954450318","1992"
"112","siberia_tundra","1645.28422703805","1992"
"212","east_siberia","3154.36795184865","1992"
"32","west_siberia","3797.84411677577","1992"
"42","fenno","3046.46068330307","1992"
"52","alaska","2706.70978644456","1992"
"62","canada_tundra","525.612651841756","1992"
"72","east_canada","3674.75986826993","1992"
"82","west_canada","3284.58648943771","1992"
"mean3","full","2636.59199351991","1993"
"14","Boreal","3419.17184370622","1993"
"24","Tundra","1207.09860180535","1993"
"113","siberia_tundra","1637.16728593354","1993"
"213","east_siberia","2961.14173188557","1993"
"33","west_siberia","3672.42642461154","1993"
"43","fenno","2802.07930500262","1993"
"53","alaska","2631.42828293092","1993"
"63","canada_tundra","520.553111058231","1993"
"73","east_canada","3625.3029719684","1993"
"83","west_canada","3186.06928081284","1993"
"mean4","full","2715.74958667721","1994"
"15","Boreal","3536.45837040504","1994"
"25","Tundra","1215.91810887754","1994"
"114","siberia_tundra","1618.11696558758","1994"
"214","east_siberia","3003.41317761906","1994"
"34","west_siberia","3726.60804956081","1994"
"44","fenno","3057.62861546185","1994"
"54","alaska","2720.61567215783","1994"
"64","canada_tundra","485.020910350735","1994"
"74","east_canada","3816.78694867208","1994"
"84","west_canada","3256.53532365747","1994"
"mean5","full","2700.60231587365","1995"
"16","Boreal","3526.55314306392","1995"
"26","Tundra","1191.06070885506","1995"
"115","siberia_tundra","1572.83577537024","1995"
"215","east_siberia","3007.65376632485","1995"
"35","west_siberia","3702.02221354334","1995"
"45","fenno","2950.30375864468","1995"
"55","alaska","2654.78290274071","1995"
"65","canada_tundra","477.422082330046","1995"
"75","east_canada","3839.52813257818","1995"
"85","west_canada","3328.42803012318","1995"
"mean6","full","2803.49953894008","1996"
"17","Boreal","3637.44011357626","1996"
"27","Tundra","1279.69740796008","1996"
"116","siberia_tundra","1696.95795877157","1996"
"216","east_siberia","3196.37493523246","1996"
"36","west_siberia","3955.16344238389","1996"
"46","fenno","3058.46929704692","1996"
"56","alaska","2784.50643171049","1996"
"66","canada_tundra","516.288015552201","1996"
"76","east_canada","3737.25217154182","1996"
"86","west_canada","3315.91158818545","1996"
"mean7","full","2714.42900505417","1997"
"18","Boreal","3505.94659327919","1997"
"28","Tundra","1268.52352140646","1997"
"117","siberia_tundra","1636.99501672462","1997"
"217","east_siberia","3032.88338011858","1997"
"37","west_siberia","3735.91463898758","1997"
"47","fenno","3032.37985119316","1997"
"57","alaska","2636.3121761662","1997"
"67","canada_tundra","561.07319009515","1997"
"77","east_canada","3629.07045421522","1997"
"87","west_canada","3289.99594953356","1997"
"mean8","full","2832.58397961263","1998"
"19","Boreal","3662.57891215305","1998"
"29","Tundra","1316.01010888524","1998"
"118","siberia_tundra","1682.8144781407","1998"
"218","east_siberia","3246.5130209389","1998"
"38","west_siberia","3891.45292209262","1998"
"48","fenno","3120.23242428717","1998"
"58","alaska","2845.88009623807","1998"
"68","canada_tundra","551.467015713426","1998"
"78","east_canada","3738.00824439611","1998"
"88","west_canada","3348.54358920641","1998"
"mean9","full","2820.43784624458","1999"
"110","Boreal","3647.18111584887","1999"
"210","Tundra","1309.78431767542","1999"
"119","siberia_tundra","1722.9386732012","1999"
"219","east_siberia","3116.31230442623","1999"
"39","west_siberia","3994.72480279515","1999"
"49","fenno","3164.69980693041","1999"
"59","alaska","2760.16629919033","1999"
"69","canada_tundra","559.04521711864","1999"
"79","east_canada","3768.84392275162","1999"
"89","west_canada","3409.19115610825","1999"
"mean10","full","2746.10854062935","2000"
"120","Boreal","3571.47738388555","2000"
"220","Tundra","1237.9324037665","2000"
"1110","siberia_tundra","1662.52027009848","2000"
"2110","east_siberia","3128.15087604565","2000"
"310","west_siberia","3939.83566302507","2000"
"410","fenno","3111.08779918132","2000"
"510","alaska","2694.76925887529","2000"
"610","canada_tundra","467.776103553251","2000"
"710","east_canada","3559.44102895021","2000"
"810","west_canada","3199.13645987133","2000"
"mean11","full","2736.17307346854","2001"
"121","Boreal","3568.1834558476","2001"
"221","Tundra","1215.81432946521","2001"
"1111","siberia_tundra","1628.29551613473","2001"
"2111","east_siberia","3130.07115982298","2001"
"311","west_siberia","3886.12500868694","2001"
"411","fenno","3055.36775249892","2001"
"511","alaska","2700.08658982451","2001"
"611","canada_tundra","462.669807145486","2001"
"711","east_canada","3545.49609594058","2001"
"811","west_canada","3253.99009302938","2001"
"mean12","full","2764.79717065217","2002"
"122","Boreal","3596.61460081076","2002"
"222","Tundra","1244.82790025776","2002"
"1112","siberia_tundra","1651.47423073518","2002"
"2112","east_siberia","3152.10158916933","2002"
"312","west_siberia","4016.28286012583","2002"
"412","fenno","3089.0174123372","2002"
"512","alaska","2690.81424894139","2002"
"612","canada_tundra","510.276083433737","2002"
"712","east_canada","3588.67213974532","2002"
"812","west_canada","3229.64623318062","2002"
"mean13","full","2781.72967633519","2003"
"123","Boreal","3604.09887437036","2003"
"223","Tundra","1279.24224661532","2003"
"1113","siberia_tundra","1669.54606138953","2003"
"2113","east_siberia","3059.03520833433","2003"
"313","west_siberia","4171.76085985648","2003"
"413","fenno","3202.1690324566","2003"
"513","alaska","2768.20240813227","2003"
"613","canada_tundra","527.835997054867","2003"
"713","east_canada","3622.02351106165","2003"
"813","west_canada","3258.83854863298","2003"
"mean14","full","2744.66899023989","2004"
"124","Boreal","3560.82130957846","2004"
"224","Tundra","1253.52346345863","2004"
"1114","siberia_tundra","1631.80872944164","2004"
"2114","east_siberia","3151.9012999491","2004"
"314","west_siberia","3902.08720469299","2004"
"414","fenno","3115.85351287278","2004"
"514","alaska","2845.19093888798","2004"
"614","canada_tundra","523.605366880054","2004"
"714","east_canada","3549.0077143662","2004"
"814","west_canada","3067.19755845861","2004"
"mean15","full","2831.34655393031","2005"
"125","Boreal","3683.0764797989","2005"
"225","Tundra","1274.72477472769","2005"
"1115","siberia_tundra","1674.20692872981","2005"
"2115","east_siberia","3208.70865211715","2005"
"315","west_siberia","4230.80295222649","2005"
"415","fenno","3174.55554421527","2005"
"515","alaska","2832.78997298254","2005"
"615","canada_tundra","531.465287397468","2005"
"715","east_canada","3696.83339395962","2005"
"815","west_canada","3226.2780090672","2005"
"mean16","full","2869.36511211779","2006"
"126","Boreal","3710.83052483598","2006"
"226","Tundra","1331.71868991472","2006"
"1116","siberia_tundra","1714.38608440777","2006"
"2116","east_siberia","3174.89518617219","2006"
"316","west_siberia","3969.40484056974","2006"
"416","fenno","3205.71360931036","2006"
"516","alaska","2728.14896317833","2006"
"616","canada_tundra","620.43852942067","2006"
"716","east_canada","3968.99213699612","2006"
"816","west_canada","3460.71976783353","2006"
"mean17","full","2794.69644567026","2007"
"127","Boreal","3618.78226299577","2007"
"227","Tundra","1288.87428127744","2007"
"1117","siberia_tundra","1715.13219162247","2007"
"2117","east_siberia","3210.57280921811","2007"
"317","west_siberia","4051.6322980827","2007"
"417","fenno","3220.62387986431","2007"
"517","alaska","2615.01512021564","2007"
"617","canada_tundra","556.03998166703","2007"
"717","east_canada","3544.77189433238","2007"
"817","west_canada","3129.84330024352","2007"
"mean18","full","2863.91005588909","2008"
"128","Boreal","3713.66919652574","2008"
"228","Tundra","1311.1360757323","2008"
"1118","siberia_tundra","1741.8063296529","2008"
"2118","east_siberia","3279.38346873211","2008"
"318","west_siberia","4151.37030370166","2008"
"418","fenno","3272.48862029988","2008"
"518","alaska","2602.51946211875","2008"
"618","canada_tundra","552.883129351236","2008"
"718","east_canada","3675.99095172423","2008"
"818","west_canada","3298.14641521694","2008"
"mean19","full","2810.85632006501","2009"
"129","Boreal","3615.37990296938","2009"
"229","Tundra","1341.39137700746","2009"
"1119","siberia_tundra","1795.81171706552","2009"
"2119","east_siberia","3176.49368513107","2009"
"319","west_siberia","3941.74379657515","2009"
"419","fenno","3149.34966977768","2009"
"519","alaska","2641.91168758662","2009"
"619","canada_tundra","628.688534387905","2009"
"719","east_canada","3768.95529461024","2009"
"819","west_canada","3180.68425223139","2009"
"mean20","full","2805.74832097932","2010"
"130","Boreal","3606.48833970779","2010"
"230","Tundra","1343.20736630591","2010"
"1120","siberia_tundra","1761.37069110749","2010"
"2120","east_siberia","3240.96829283801","2010"
"320","west_siberia","3866.72890130925","2010"
"420","fenno","3192.56165688362","2010"
"520","alaska","2709.40917183256","2010"
"620","canada_tundra","584.691119063943","2010"
"720","east_canada","3543.10403102211","2010"
"820","west_canada","3180.02030752254","2010"
"mean21","full","2761.63965281002","2011"
"131","Boreal","3562.0652282542","2011"
"231","Tundra","1299.42011048396","2011"
"1121","siberia_tundra","1703.03450992699","2011"
"2121","east_siberia","3079.75305095454","2011"
"321","west_siberia","3920.13680772822","2011"
"421","fenno","3103.04504865938","2011"
"521","alaska","2692.97325361178","2011"
"621","canada_tundra","587.647052172429","2011"
"721","east_canada","3679.52766003532","2011"
"821","west_canada","3228.74463394403","2011"
"mean22","full","2705.97861647986","2012"
"132","Boreal","3475.43432659936","2012"
"232","Tundra","1300.74451854454","2012"
"1122","siberia_tundra","1692.29711193354","2012"
"2122","east_siberia","2969.49649890893","2012"
"322","west_siberia","3948.62881381849","2012"
"422","fenno","3124.28520709247","2012"
"522","alaska","2832.86494938732","2012"
"622","canada_tundra","546.611726485856","2012"
"722","east_canada","3444.70506833644","2012"
"822","west_canada","3137.14036552203","2012"
"mean23","full","2799.74160121121","2013"
"133","Boreal","3627.97017028898","2013"
"233","Tundra","1286.33886209615","2013"
"1123","siberia_tundra","1679.99763829788","2013"
"2123","east_siberia","3148.29740463111","2013"
"323","west_siberia","3954.52638307405","2013"
"423","fenno","3223.82591198387","2013"
"523","alaska","2779.68944071331","2013"
"623","canada_tundra","500.055512099873","2013"
"723","east_canada","3727.74938640167","2013"
"823","west_canada","3237.02467459045","2013"
"mean24","full","2794.8289880769","2014"
"134","Boreal","3623.01250893046","2014"
"234","Tundra","1281.56990036779","2014"
"1124","siberia_tundra","1700.51130436425","2014"
"2124","east_siberia","3088.06187482058","2014"
"324","west_siberia","4014.21078551545","2014"
"424","fenno","3284.69622952501","2014"
"524","alaska","2626.93286654316","2014"
"624","canada_tundra","547.048989462881","2014"
"724","east_canada","3767.70846366711","2014"
"824","west_canada","3211.76130942468","2014"
"mean25","full","2854.32355744845","2015"
"135","Boreal","3675.3799387068","2015"
"235","Tundra","1354.50085543637","2015"
"1125","siberia_tundra","1764.30900104537","2015"
"2125","east_siberia","3159.05228485108","2015"
"325","west_siberia","4138.83426072375","2015"
"425","fenno","3340.56118911531","2015"
"525","alaska","2810.95672702395","2015"
"625","canada_tundra","617.067665652709","2015"
"725","east_canada","3707.01671517647","2015"
"825","west_canada","3225.4919323128","2015"
"mean26","full","2826.91992427495","2016"
"136","Boreal","3647.49800398312","2016"
"236","Tundra","1327.90075554442","2016"
"1126","siberia_tundra","1710.60313622449","2016"
"2126","east_siberia","3202.11040936154","2016"
"326","west_siberia","4117.87445762482","2016"
"426","fenno","3305.6703774763","2016"
"526","alaska","2716.05724016246","2016"
"626","canada_tundra","592.161510892234","2016"
"726","east_canada","3626.8481125469","2016"
"826","west_canada","3134.13758083879","2016"
