"","x"
"1","vpd"
"2","vpd"
"3","vpd"
"4","vpd"
"5","vpd"
"6","vpd"
"7","tmean"
"8","tmean"
"9","vpd"
"10","vpd"
"11","vpd"
"12","tmean"
"13","vpd"
"14","tmean"
"15","tmean"
"16","vpd"
"17","tmean"
"18","vpd"
"19","tmean"
"20","vpd"
"21","vpd"
"22","vpd"
"23","vpd"
"24",NA
"25","tmean"
"26","vpd"
"27","vpd"
"28","tmean"
"29","tmean"
"30","vpd"
"31","ndvi"
"32","vpd"
"33","vpd"
"34","vpd"
"35","vpd"
"36","tmean"
"37","vpd"
"38","ndvi"
"39","vpd"
"40","vpd"
"41","vpd"
"42","vpd"
"43","tmean"
"44","tmean"
"45","tmean"
"46","vpd"
"47","vpd"
"48","vpd"
"49","tmean"
"50","vpd"
"51","ndvi"
"52","tmean"
"53","tmean"
"54","tmean"
"55","vpd"
"56","vpd"
"57","vpd"
"58","vpd"
"59","tmean"
"60","tmean"
"61","ndvi"
"62","ndvi"
"63","tmean"
"64","tmean"
"65","tmean"
"66","tmean"
"67","tmean"
"68","ndvi"
"69","tmean"
"70","vpd"
"71","vpd"
"72","vpd"
"73","tmean"
"74","tmean"
"75","vpd"
"76","tmean"
"77","tmean"
"78","tmean"
"79","vpd"
"80","ndvi"
"81","tmean"
"82","tmean"
"83","tmean"
"84","tmean"
"85","tmean"
"86","vpd"
"87","tmean"
"88","vpd"
"89","tmean"
"90","vpd"
"91","tmean"
"92","tmean"
"93","tmean"
"94","tmean"
"95","vpd"
"96","ndvi"
"97","tmean"
"98","tmean"
"99","tmean"
"100","vpd"
"101","tmean"
"102","vpd"
"103","vpd"
"104","vpd"
"105","vpd"
"106","vpd"
"107","vpd"
"108","ndvi"
"109","ndvi"
"110","ndvi"
"111","tmean"
"112","tmean"
"113","tmean"
"114","tmean"
"115","tmean"
"116","tmean"
"117","tmean"
"118","vpd"
"119","tmean"
"120","tmean"
"121","tmean"
"122","tmean"
"123","vpd"
"124","vpd"
"125","tmean"
"126","tmean"
"127","vpd"
"128",NA
"129","tmean"
"130","tmean"
"131","tmean"
"132","tmean"
"133","tmean"
"134","tmean"
"135",NA
"136","vpd"
"137","vpd"
"138","vpd"
"139","tmean"
"140","ndvi"
"141","tmean"
"142","vpd"
"143","tmean"
"144","tmean"
"145",NA
"146","ndvi"
"147","tmean"
"148","tmean"
"149",NA
"150","tmean"
"151","ndvi"
"152","vpd"
"153","ndvi"
"154","ndvi"
"155","vpd"
"156","vpd"
"157","vpd"
"158","tmean"
"159","vpd"
"160","ndvi"
"161","tmean"
"162","vpd"
"163","ndvi"
"164","tmean"
"165","ndvi"
"166",NA
"167",NA
"168","tmean"
"169",NA
"170","vpd"
"171","vpd"
"172","vpd"
"173","vpd"
"174","vpd"
"175","tmean"
"176","tmean"
"177","ndvi"
"178","tmean"
"179","tmean"
"180","tmean"
"181","tmean"
"182","tmean"
"183","vpd"
"184","ndvi"
"185","vpd"
"186","vpd"
"187",NA
"188","tmean"
"189","tmean"
"190","ndvi"
"191","ndvi"
"192","vpd"
"193","tmean"
"194","ndvi"
"195","ndvi"
"196","vpd"
"197","tmean"
"198","ndvi"
"199","tmean"
"200","tmean"
"201",NA
"202","ndvi"
"203","ndvi"
"204",NA
"205","tmean"
"206",NA
"207","ndvi"
"208","tmean"
"209","tmean"
"210","vpd"
"211","tmean"
"212","vpd"
"213","tmean"
"214","tmean"
"215","ndvi"
"216","tmean"
"217","ndvi"
"218","tmean"
"219","tmean"
"220","tmean"
"221","tmean"
"222","vpd"
"223","vpd"
"224",NA
"225","ndvi"
"226","ndvi"
"227","tmean"
"228","ndvi"
"229","vpd"
"230","tmean"
"231","vpd"
"232","vpd"
"233","ndvi"
"234","tmean"
"235","ndvi"
"236","vpd"
"237","vpd"
"238","tmean"
"239","tmean"
"240","tmean"
"241","tmean"
"242","vpd"
"243","tmean"
"244","vpd"
"245","tmean"
"246",NA
"247",NA
"248","vpd"
"249","tmean"
"250","vpd"
"251","vpd"
"252","vpd"
"253","tmean"
"254","tmean"
"255","tmean"
"256","ndvi"
"257","vpd"
"258","tmean"
"259","ndvi"
"260","vpd"
"261","ndvi"
"262","vpd"
"263","vpd"
"264","ndvi"
"265","ndvi"
"266","ndvi"
"267","tmean"
"268","tmean"
"269","tmean"
"270","tmean"
"271","vpd"
"272",NA
"273",NA
"274","vpd"
"275","vpd"
"276","ndvi"
"277","vpd"
"278","tmean"
"279","vpd"
"280","tmean"
"281","tmean"
"282","tmean"
"283","vpd"
"284","ndvi"
"285",NA
"286",NA
"287","tmean"
"288","tmean"
"289","tmean"
"290","ndvi"
"291","ndvi"
"292","vpd"
"293","tmean"
"294","tmean"
"295","ndvi"
"296","tmean"
"297","tmean"
"298","tmean"
"299","vpd"
"300","ndvi"
"301",NA
"302",NA
"303",NA
"304","vpd"
"305","ndvi"
"306","tmean"
"307","tmean"
"308","vpd"
"309","vpd"
"310","tmean"
"311","vpd"
"312","tmean"
"313","vpd"
"314","tmean"
"315","tmean"
"316",NA
"317","tmean"
"318","ndvi"
"319","tmean"
"320","ndvi"
"321","tmean"
"322","vpd"
"323","tmean"
"324","ndvi"
"325","ndvi"
"326","ndvi"
"327","ndvi"
"328","tmean"
"329","vpd"
"330","tmean"
"331",NA
"332","ndvi"
"333",NA
"334",NA
"335","vpd"
"336","vpd"
"337","tmean"
"338","tmean"
"339","vpd"
"340","vpd"
"341","ndvi"
"342","tmean"
"343","tmean"
"344","tmean"
"345","ndvi"
"346","vpd"
"347","vpd"
"348","vpd"
"349","tmean"
"350","vpd"
"351","vpd"
"352","tmean"
"353","tmean"
"354","tmean"
"355","tmean"
"356","ndvi"
"357","tmean"
"358","vpd"
"359","ndvi"
"360","vpd"
"361","tmean"
"362","vpd"
"363","tmean"
"364","vpd"
"365","tmean"
"366","vpd"
"367","ndvi"
"368",NA
"369","vpd"
"370","vpd"
"371","tmean"
"372","tmean"
"373","vpd"
"374","tmean"
"375","tmean"
"376","tmean"
"377","tmean"
"378","vpd"
"379","vpd"
"380","vpd"
"381","tmean"
"382",NA
"383","tmean"
"384","vpd"
"385","tmean"
"386",NA
"387","tmean"
"388","tmean"
"389","tmean"
"390","tmean"
"391","ndvi"
"392",NA
"393","ndvi"
"394","vpd"
"395","ndvi"
"396","tmean"
"397","ndvi"
"398",NA
"399","vpd"
"400","ndvi"
"401",NA
"402","ndvi"
"403","ndvi"
"404","tmean"
"405","ndvi"
"406","vpd"
"407","vpd"
"408","ndvi"
"409","ndvi"
"410","vpd"
"411","vpd"
"412","vpd"
"413","vpd"
"414","tmean"
"415","vpd"
"416","tmean"
"417","tmean"
"418",NA
"419","tmean"
"420",NA
"421","tmean"
"422","tmean"
"423","tmean"
"424","vpd"
"425",NA
"426","ndvi"
"427","vpd"
"428","vpd"
"429","ndvi"
"430","tmean"
"431",NA
"432","tmean"
"433",NA
"434","vpd"
"435","ndvi"
"436","tmean"
"437","ndvi"
"438","vpd"
"439","tmean"
"440","ndvi"
"441","ndvi"
"442","vpd"
"443","ndvi"
"444","vpd"
"445","vpd"
"446","ndvi"
"447","vpd"
"448","ndvi"
"449","ndvi"
"450","tmean"
"451","tmean"
"452","vpd"
"453","tmean"
"454","vpd"
"455",NA
"456","tmean"
"457","vpd"
"458",NA
"459",NA
"460","ndvi"
"461","tmean"
"462","vpd"
"463","tmean"
"464","vpd"
"465","ndvi"
"466",NA
"467","vpd"
"468",NA
"469","ndvi"
"470","vpd"
"471","vpd"
"472","ndvi"
"473","tmean"
"474","ndvi"
"475","vpd"
"476","ndvi"
"477","vpd"
"478","vpd"
"479","ndvi"
"480","vpd"
"481","ndvi"
"482","tmean"
"483","vpd"
"484","vpd"
"485",NA
"486","vpd"
"487",NA
"488","vpd"
"489","vpd"
"490",NA
"491",NA
"492",NA
"493",NA
"494","tmean"
"495","ndvi"
"496","tmean"
"497","ndvi"
"498","vpd"
"499",NA
"500",NA
"501","ndvi"
"502","vpd"
"503","vpd"
"504","tmean"
"505","vpd"
"506","vpd"
"507","vpd"
"508","ndvi"
"509","tmean"
"510","tmean"
"511","ndvi"
"512","vpd"
"513","ndvi"
"514","vpd"
"515","vpd"
"516","ndvi"
"517","tmean"
"518",NA
"519",NA
"520",NA
"521",NA
"522",NA
"523","tmean"
"524","tmean"
"525",NA
"526",NA
"527",NA
"528",NA
"529","tmean"
"530","ndvi"
"531","vpd"
"532","vpd"
"533","vpd"
"534",NA
"535",NA
"536","ndvi"
"537",NA
"538","vpd"
"539","tmean"
"540","tmean"
"541","tmean"
"542","tmean"
"543","tmean"
"544","tmean"
"545","tmean"
"546","ndvi"
"547","vpd"
"548","vpd"
"549","vpd"
"550",NA
"551",NA
"552",NA
"553",NA
"554","ndvi"
"555","tmean"
"556","tmean"
"557",NA
"558",NA
"559","ndvi"
"560","tmean"
"561",NA
"562",NA
"563",NA
"564","vpd"
"565","ndvi"
"566","ndvi"
"567","tmean"
"568",NA
"569",NA
"570","tmean"
"571","vpd"
"572",NA
"573",NA
"574","vpd"
"575","tmean"
"576","tmean"
"577","tmean"
"578","tmean"
"579","tmean"
"580","tmean"
"581","ndvi"
"582","vpd"
"583","vpd"
"584","vpd"
"585","vpd"
"586","vpd"
"587","vpd"
"588","tmean"
"589",NA
"590",NA
"591","ndvi"
"592","ndvi"
"593","tmean"
"594",NA
"595",NA
"596","ndvi"
"597","vpd"
"598","tmean"
"599",NA
"600",NA
"601",NA
"602","tmean"
"603","tmean"
"604","tmean"
"605",NA
"606","ndvi"
"607","vpd"
"608",NA
"609","tmean"
"610","tmean"
"611","vpd"
"612",NA
"613","tmean"
"614","vpd"
"615","tmean"
"616","tmean"
"617","tmean"
"618","tmean"
"619","tmean"
"620","vpd"
"621","vpd"
"622",NA
"623","tmean"
"624","tmean"
"625","vpd"
"626","ndvi"
"627",NA
"628","tmean"
"629","tmean"
"630","vpd"
"631",NA
"632",NA
"633",NA
"634","tmean"
"635","tmean"
"636","ndvi"
"637",NA
"638",NA
"639",NA
"640",NA
"641",NA
"642",NA
"643",NA
"644","tmean"
"645",NA
"646",NA
"647",NA
"648",NA
"649","ndvi"
"650",NA
"651","ndvi"
"652","vpd"
"653","ndvi"
"654",NA
"655",NA
"656","tmean"
"657","tmean"
"658","tmean"
"659","tmean"
"660","ndvi"
"661","ndvi"
"662","vpd"
"663","vpd"
"664","tmean"
