"","area","mean","year"
"mean","full","6037.29394868715","1990"
"1","Boreal","5490.65779615719","1990"
"2","Tundra","7050.87780653224","1990"
"11","siberia_tundra","6814.9127950837","1990"
"21","east_siberia","6004.83032160729","1990"
"3","west_siberia","5629.20101899762","1990"
"4","fenno","5772.44706820337","1990"
"5","alaska","6273.4889012165","1990"
"6","canada_tundra","7212.19410620347","1990"
"7","east_canada","5262.58313577984","1990"
"8","west_canada","5398.81909641494","1990"
"mean1","full","5985.82876146759","1991"
"12","Boreal","5434.26253753467","1991"
"22","Tundra","7008.38292817285","1991"
"111","siberia_tundra","6811.95529137529","1991"
"211","east_siberia","6265.50122267813","1991"
"31","west_siberia","4949.12554849592","1991"
"41","fenno","5516.76316445643","1991"
"51","alaska","6013.29064177014","1991"
"61","canada_tundra","7223.47064026286","1991"
"71","east_canada","5175.54491839724","1991"
"81","west_canada","5274.41212972531","1991"
"mean2","full","6302.19278977243","1992"
"13","Boreal","5738.44157239603","1992"
"23","Tundra","7347.63845603077","1992"
"112","siberia_tundra","7193.02800169527","1992"
"212","east_siberia","6212.99660583256","1992"
"32","west_siberia","5623.67279523665","1992"
"42","fenno","6109.77856069841","1992"
"52","alaska","6888.81493634232","1992"
"62","canada_tundra","7463.27666851544","1992"
"72","east_canada","5533.10738217909","1992"
"82","west_canada","5610.48815623296","1992"
"mean3","full","6142.85010903803","1993"
"14","Boreal","5608.60344334055","1993"
"24","Tundra","7133.79930883612","1993"
"113","siberia_tundra","7103.64093875821","1993"
"213","east_siberia","6248.59000337067","1993"
"33","west_siberia","5869.11478465987","1993"
"43","fenno","6061.39626199008","1993"
"53","alaska","6245.50499661646","1993"
"63","canada_tundra","7182.92907233735","1993"
"73","east_canada","5376.57801519318","1993"
"83","west_canada","4924.56183085048","1993"
"mean4","full","5976.9262538688","1994"
"15","Boreal","5439.14036299688","1994"
"25","Tundra","6973.04611259947","1994"
"114","siberia_tundra","6924.63151091333","1994"
"214","east_siberia","6109.51421353194","1994"
"34","west_siberia","5274.7914510729","1994"
"44","fenno","5875.85533412138","1994"
"54","alaska","6288.56411799884","1994"
"64","canada_tundra","6915.21957301803","1994"
"74","east_canada","5041.8262029691","1994"
"84","west_canada","5079.64003164557","1994"
"mean5","full","6001.30868148186","1995"
"16","Boreal","5483.71703042876","1995"
"26","Tundra","6960.39787102501","1995"
"115","siberia_tundra","7001.60979020979","1995"
"215","east_siberia","6343.00291692595","1995"
"35","west_siberia","4977.08172906204","1995"
"45","fenno","5780.54534834325","1995"
"55","alaska","5752.34584061187","1995"
"65","canada_tundra","7085.54002588279","1995"
"75","east_canada","5072.56158664433","1995"
"85","west_canada","5045.75908285255","1995"
"mean6","full","6243.13660986025","1996"
"17","Boreal","5741.60266430583","1996"
"27","Tundra","7172.85449097999","1996"
"116","siberia_tundra","7122.78818181818","1996"
"216","east_siberia","6427.75905786533","1996"
"36","west_siberia","5782.81807373307","1996"
"46","fenno","5745.57344113627","1996"
"56","alaska","6374.10049887478","1996"
"66","canada_tundra","7194.23328963512","1996"
"76","east_canada","5473.21213821369","1996"
"86","west_canada","5574.47865359224","1996"
"mean7","full","6027.522909498","1997"
"18","Boreal","5491.7154858215","1997"
"28","Tundra","7020.3536541063","1997"
"117","siberia_tundra","6925.07860351769","1997"
"217","east_siberia","6126.92479921826","1997"
"37","west_siberia","4814.01718092122","1997"
"47","fenno","5999.81340425794","1997"
"57","alaska","5898.82625544907","1997"
"67","canada_tundra","7087.5403179045","1997"
"77","east_canada","5377.22591164354","1997"
"87","west_canada","5352.8239652401","1997"
"mean8","full","6087.63999376788","1998"
"19","Boreal","5595.71089061488","1998"
"29","Tundra","7000.11323885313","1998"
"118","siberia_tundra","7261.41170798898","1998"
"218","east_siberia","6525.54715696951","1998"
"38","west_siberia","6086.66252916857","1998"
"48","fenno","5971.97925362935","1998"
"58","alaska","6094.38902790237","1998"
"68","canada_tundra","6616.62629624027","1998"
"78","east_canada","4724.71766444353","1998"
"88","west_canada","4727.31239953787","1998"
"mean9","full","6052.76027093371","1999"
"110","Boreal","5499.95804088533","1999"
"210","Tundra","7077.44641036006","1999"
"119","siberia_tundra","6921.31736384827","1999"
"219","east_siberia","6264.36355592719","1999"
"39","west_siberia","5492.71401169279","1999"
"49","fenno","5743.5489284351","1999"
"59","alaska","6214.73194136254","1999"
"69","canada_tundra","7185.53562454831","1999"
"79","east_canada","5120.18250782312","1999"
"89","west_canada","5111.40133901662","1999"
"mean10","full","6026.58393053408","2000"
"120","Boreal","5432.2718508788","2000"
"220","Tundra","7129.01963779948","2000"
"1110","siberia_tundra","6907.32070989616","2000"
"2110","east_siberia","6206.29998071588","2000"
"310","west_siberia","5320.33845051489","2000"
"410","fenno","5447.25174387105","2000"
"510","alaska","6568.16618667674","2000"
"610","canada_tundra","7299.42236844317","2000"
"710","east_canada","5074.09130659249","2000"
"810","west_canada","5265.460602701","2000"
"mean11","full","6021.75212046576","2001"
"121","Boreal","5460.53107246759","2001"
"221","Tundra","7062.52076397916","2001"
"1111","siberia_tundra","6990.88814791269","2001"
"2111","east_siberia","6240.04355132493","2001"
"311","west_siberia","5547.21365659717","2001"
"411","fenno","5696.77471740977","2001"
"511","alaska","6497.1212210629","2001"
"611","canada_tundra","6995.28015596901","2001"
"711","east_canada","4786.50966168305","2001"
"811","west_canada","5151.10239960963","2001"
"mean12","full","6202.04889498288","2002"
"122","Boreal","5743.70485991546","2002"
"222","Tundra","7052.1226551684","2002"
"1112","siberia_tundra","7045.46777919051","2002"
"2112","east_siberia","6271.5402592499","2002"
"312","west_siberia","5741.9611804393","2002"
"412","fenno","5960.80955327349","2002"
"512","alaska","6063.60620760745","2002"
"612","canada_tundra","7119.69786256912","2002"
"712","east_canada","5730.78183508761","2002"
"812","west_canada","5470.29989020925","2002"
"mean13","full","5912.40731098071","2003"
"123","Boreal","5383.35799249236","2003"
"223","Tundra","6893.21231426292","2003"
"1113","siberia_tundra","6668.24439499894","2003"
"2113","east_siberia","6161.40352672552","2003"
"313","west_siberia","5200.15988814488","2003"
"413","fenno","5636.78639349612","2003"
"513","alaska","5787.17694317234","2003"
"613","canada_tundra","7065.94498016773","2003"
"713","east_canada","5116.94592302262","2003"
"813","west_canada","5051.38355542639","2003"
"mean14","full","6140.30736810044","2004"
"124","Boreal","5634.43265583174","2004"
"224","Tundra","7078.97320022616","2004"
"1114","siberia_tundra","6903.12006993007","2004"
"2114","east_siberia","6363.15528822469","2004"
"314","west_siberia","5664.87427395627","2004"
"414","fenno","5620.36420585374","2004"
"514","alaska","6161.89239963489","2004"
"614","canada_tundra","7274.63967461638","2004"
"714","east_canada","5296.90194761408","2004"
"814","west_canada","5466.39140044203","2004"
"mean15","full","5746.66672258963","2005"
"125","Boreal","5171.20901335023","2005"
"225","Tundra","6812.98161519926","2005"
"1115","siberia_tundra","6605.26066539521","2005"
"2115","east_siberia","5931.9456155362","2005"
"315","west_siberia","4996.81952265003","2005"
"415","fenno","5418.86640531688","2005"
"515","alaska","5971.90002045859","2005"
"615","canada_tundra","7028.83398880653","2005"
"715","east_canada","4714.51004098577","2005"
"815","west_canada","4911.03976506214","2005"
"mean16","full","5928.99877890262","2006"
"126","Boreal","5439.66507246192","2006"
"226","Tundra","6836.17216017776","2006"
"1116","siberia_tundra","6820.8593006993","2006"
"2116","east_siberia","6237.12129712456","2006"
"316","west_siberia","5614.78800157257","2006"
"416","fenno","5645.64934647162","2006"
"516","alaska","6062.46935933148","2006"
"616","canada_tundra","6722.30345888166","2006"
"716","east_canada","4830.83185036508","2006"
"816","west_canada","5002.95309853899","2006"
"mean17","full","5860.0702015893","2007"
"127","Boreal","5298.57494498222","2007"
"227","Tundra","6900.75467248977","2007"
"1117","siberia_tundra","6599.62762237762","2007"
"2117","east_siberia","6080.87626562176","2007"
"317","west_siberia","4978.73274615736","2007"
"417","fenno","5373.38737640526","2007"
"517","alaska","5893.74930755551","2007"
"617","canada_tundra","7173.90438704852","2007"
"717","east_canada","4967.60433195309","2007"
"817","west_canada","5272.56042079279","2007"
"mean18","full","5866.26718902748","2008"
"128","Boreal","5296.88348170066","2008"
"228","Tundra","6921.6629017258","2008"
"1118","siberia_tundra","6747.84320618775","2008"
"2118","east_siberia","5994.69968383764","2008"
"318","west_siberia","5136.98355780449","2008"
"418","fenno","5547.37832305173","2008"
"518","alaska","6382.45742253277","2008"
"618","canada_tundra","6948.35580219836","2008"
"718","east_canada","4747.84954062227","2008"
"818","west_canada","5214.09674502712","2008"
"mean19","full","5927.00705088184","2009"
"129","Boreal","5407.71906073708","2009"
"229","Tundra","6889.20224007377","2009"
"1119","siberia_tundra","6630.17330366603","2009"
"2119","east_siberia","5907.91699644135","2009"
"319","west_siberia","5319.48837378887","2009"
"419","fenno","5796.3690280497","2009"
"519","alaska","6042.92336685394","2009"
"619","canada_tundra","7035.76090984722","2009"
"719","east_canada","5173.79217372064","2009"
"819","west_canada","5374.39502963633","2009"
"mean20","full","5761.15980173403","2010"
"130","Boreal","5199.34749660257","2010"
"230","Tundra","6802.26802415903","2010"
"1120","siberia_tundra","6652.80162534435","2010"
"2120","east_siberia","6099.64039002541","2010"
"320","west_siberia","4954.45028978339","2010"
"420","fenno","5507.226947964","2010"
"520","alaska","5917.81809562029","2010"
"620","canada_tundra","6940.51316828854","2010"
"720","east_canada","4495.60492988168","2010"
"820","west_canada","4783.97541548265","2010"
"mean21","full","5773.90581280079","2011"
"131","Boreal","5197.97599021371","2011"
"231","Tundra","6841.23124464982","2011"
"1121","siberia_tundra","6568.57499894045","2011"
"2121","east_siberia","5943.1582570071","2011"
"321","west_siberia","4656.09926824938","2011"
"421","fenno","5359.70800087424","2011"
"521","alaska","6133.08468281321","2011"
"621","canada_tundra","7003.27778618128","2011"
"721","east_canada","4982.35582018944","2011"
"821","west_canada","5157.81109891214","2011"
"mean22","full","5797.55155304417","2012"
"132","Boreal","5270.65782662421","2012"
"232","Tundra","6773.51620311658","2012"
"1122","siberia_tundra","6582.2033735961","2012"
"2122","east_siberia","5918.31331349824","2012"
"322","west_siberia","5016.89213019327","2012"
"422","fenno","5634.69762538017","2012"
"522","alaska","6078.21591678076","2012"
"622","canada_tundra","6788.64899410074","2012"
"722","east_canada","4655.20146242269","2012"
"822","west_canada","5292.66554005568","2012"
"mean23","full","5967.82131958594","2013"
"133","Boreal","5431.73147002683","2013"
"233","Tundra","6961.09709121989","2013"
"1123","siberia_tundra","6734.35022886205","2013"
"2123","east_siberia","6066.52686245722","2013"
"323","west_siberia","5422.98347220109","2013"
"423","fenno","5622.96103610259","2013"
"523","alaska","6286.44415986025","2013"
"623","canada_tundra","7079.74592640212","2013"
"723","east_canada","5154.72605124801","2013"
"823","west_canada","5260.33109805104","2013"
"mean24","full","5950.36312985704","2014"
"134","Boreal","5411.8639505669","2014"
"234","Tundra","6949.08970665166","2014"
"1124","siberia_tundra","6873.61208094935","2014"
