"","area","mean","year"
"mean","full","33.543145975672","1990"
"1","Boreal","35.2491277928696","1990"
"2","Tundra","30.3885167982414","1990"
"11","siberia_tundra","33.7902479338843","1990"
"21","east_siberia","35.859277769135","1990"
"3","west_siberia","37.5441333130422","1990"
"4","fenno","33.1167670200584","1990"
"5","alaska","32.7484380655619","1990"
"6","canada_tundra","25.8151880703877","1990"
"7","east_canada","33.0049388374372","1990"
"8","west_canada","33.8329601882947","1990"
"mean1","full","33.7984395453255","1991"
"12","Boreal","35.6019710038955","1991"
"22","Tundra","30.4642746742335","1991"
"111","siberia_tundra","34.1452023733842","1991"
"211","east_siberia","36.3143797967227","1991"
"31","west_siberia","37.375900421042","1991"
"41","fenno","33.1413536010245","1991"
"51","alaska","32.939352092284","1991"
"61","canada_tundra","25.8982756012706","1991"
"71","east_canada","34.0761529222113","1991"
"81","west_canada","33.69543471397","1991"
"mean2","full","33.9185185645462","1992"
"13","Boreal","35.8566530061033","1992"
"23","Tundra","30.3355216226499","1992"
"112","siberia_tundra","34.7142254714982","1992"
"212","east_siberia","36.2389642968264","1992"
"32","west_siberia","38.25026315122","1992"
"42","fenno","33.5474923965375","1992"
"52","alaska","32.4161788080512","1992"
"62","canada_tundra","24.7343211650616","1992"
"72","east_canada","34.3455342373381","1992"
"82","west_canada","34.4013605442177","1992"
"mean3","full","33.9049293116741","1993"
"14","Boreal","35.6059504932115","1993"
"24","Tundra","30.762722197563","1993"
"113","siberia_tundra","35.269696969697","1993"
"213","east_siberia","35.8100408693736","1993"
"33","west_siberia","38.6092679957389","1993"
"43","fenno","33.2584299927352","1993"
"53","alaska","32.4904002014384","1993"
"63","canada_tundra","25.2962675843291","1993"
"73","east_canada","33.7883095742327","1993"
"83","west_canada","34.7721572806338","1993"
"mean4","full","34.121009916065","1994"
"15","Boreal","35.7095213701375","1994"
"25","Tundra","31.1899775952992","1994"
"114","siberia_tundra","35.093155329519","1994"
"214","east_siberia","36.1071386901058","1994"
"34","west_siberia","39.0014045300056","1994"
"44","fenno","33.0794715747479","1994"
"54","alaska","32.7905158711424","1994"
"64","canada_tundra","27.1364455705138","1994"
"74","east_canada","33.6047955453003","1994"
"84","west_canada","34.352943181492","1994"
"mean5","full","34.2093201530298","1995"
"16","Boreal","35.7309889312593","1995"
"26","Tundra","31.4014635712248","1995"
"115","siberia_tundra","35.623382072473","1995"
"215","east_siberia","35.900957399917","1995"
"35","west_siberia","39.3553556029016","1995"
"45","fenno","33.1252062477682","1995"
"55","alaska","32.8976952614765","1995"
"65","canada_tundra","27.2419662515336","1995"
"75","east_canada","33.5798853662905","1995"
"85","west_canada","34.6700124142484","1995"
"mean6","full","33.9003510021932","1996"
"17","Boreal","35.5438615323354","1996"
"27","Tundra","30.8653980797481","1996"
"116","siberia_tundra","34.7069336723882","1996"
"216","east_siberia","35.9579201021572","1996"
"36","west_siberia","37.791587404251","1996"
"46","fenno","33.2603370150099","1996"
"56","alaska","32.7725005114647","1996"
"66","canada_tundra","26.3767374241584","1996"
"76","east_canada","33.9156130480134","1996"
"86","west_canada","34.20890919659","1996"
"mean7","full","33.8345599539001","1997"
"18","Boreal","35.5644629088781","1997"
"28","Tundra","30.6400742948332","1997"
"117","siberia_tundra","35.3226509853783","1997"
"217","east_siberia","36.7911197430512","1997"
"37","west_siberia","36.7707699234008","1997"
"47","fenno","32.6899726644749","1997"
"57","alaska","31.8540515871142","1997"
"67","canada_tundra","25.2068963343922","1997"
"77","east_canada","33.4806160508266","1997"
"87","west_canada","34.2902601969058","1997"
"mean8","full","33.760671829059","1998"
"19","Boreal","35.4186760731832","1998"
"29","Tundra","30.6998516481194","1998"
"118","siberia_tundra","36.380599703327","1998"
"218","east_siberia","36.9195544233562","1998"
"38","west_siberia","36.2098678537006","1998"
"48","fenno","33.0329119106547","1998"
"58","alaska","32.6264143965504","1998"
"68","canada_tundra","24.2203566446495","1998"
"78","east_canada","32.7501554087514","1998"
"88","west_canada","33.4395810011768","1998"
"mean9","full","33.496753943137","1999"
"110","Boreal","35.362307118939","1999"
"210","Tundra","30.0492546738108","1999"
"119","siberia_tundra","34.5644755244755","1999"
"219","east_siberia","36.0590677504667","1999"
"39","west_siberia","37.9335083447471","1999"
"49","fenno","33.3032765690222","1999"
"59","alaska","31.5554388366933","1999"
"69","canada_tundra","24.3438440141851","1999"
"79","east_canada","33.3979886419909","1999"
"89","west_canada","33.4799631878068","1999"
"mean10","full","33.4941096897971","2000"
"120","Boreal","35.3722882577255","2000"
"220","Tundra","30.0208894771884","2000"
"1110","siberia_tundra","33.6683004873914","2000"
"2110","east_siberia","35.7855848760631","2000"
"310","west_siberia","37.8107530563587","2000"
"410","fenno","33.3603564084568","2000"
"510","alaska","31.627704861275","2000"
"610","canada_tundra","25.2741558681659","2000"
"710","east_canada","33.0791030544405","2000"
"810","west_canada","34.2114960963288","2000"
"mean11","full","33.4203269668737","2001"
"121","Boreal","35.028356296967","2001"
"221","Tundra","30.4495101613773","2001"
"1111","siberia_tundra","35.4580716253444","2001"
"2111","east_siberia","35.3094915149865","2001"
"311","west_siberia","38.2811469588596","2001"
"411","fenno","32.7328475736643","2001"
"511","alaska","32.0000511464677","2001"
"611","canada_tundra","24.654368140641","2001"
"711","east_canada","33.6004651726354","2001"
"811","west_canada","33.6418022905365","2001"
"mean12","full","33.5412086976377","2002"
"122","Boreal","35.5104873873606","2002"
"222","Tundra","29.8994120087082","2002"
"1112","siberia_tundra","34.0470820089002","2002"
"2112","east_siberia","35.9559276796826","2002"
"312","west_siberia","38.1909336478466","2002"
"412","fenno","33.1553999975373","2002"
"512","alaska","32.1705656012464","2002"
"612","canada_tundra","24.1089976302123","2002"
"712","east_canada","33.5692912307319","2002"
"812","west_canada","34.3203916587732","2002"
"mean13","full","33.5751515670356","2003"
"123","Boreal","35.3040134281637","2003"
"223","Tundra","30.3803468765522","2003"
"1113","siberia_tundra","34.7440792540793","2003"
"2113","east_siberia","36.1502881274632","2003"
"313","west_siberia","38.0981237000964","2003"
"413","fenno","32.8765761023481","2003"
"513","alaska","32.5705663881151","2003"
"613","canada_tundra","24.7233924099565","2003"
"713","east_canada","33.9393431741316","2003"
"813","west_canada","32.9810377737593","2003"
"mean14","full","33.8497339176915","2004"
"124","Boreal","35.4814175952024","2004"
"224","Tundra","30.837680849265","2004"
"1114","siberia_tundra","34.9706102987921","2004"
"2114","east_siberia","36.3371350601535","2004"
"314","west_siberia","38.4767507482372","2004"
"414","fenno","33.0868349279056","2004"
"514","alaska","32.4860370143053","2004"
"614","canada_tundra","25.9475495386477","2004"
"714","east_canada","33.3903788812677","2004"
"814","west_canada","33.4224629725308","2004"
"mean15","full","34.0452024637356","2005"
"125","Boreal","35.761574634998","2005"
"225","Tundra","30.8763811388352","2005"
"1115","siberia_tundra","35.3140538249629","2005"
"2115","east_siberia","36.4164940818814","2005"
"315","west_siberia","38.7194300715264","2005"
"415","fenno","33.0885680248236","2005"
"515","alaska","32.2456250098359","2005"
"615","canada_tundra","25.5782681221533","2005"
"715","east_canada","33.4954878781174","2005"
"815","west_canada","34.6939331639829","2005"
"mean16","full","34.3049712423063","2006"
"126","Boreal","36.0890402320595","2006"
"226","Tundra","31.0110669446118","2006"
"1116","siberia_tundra","35.8141449459631","2006"
"2116","east_siberia","37.1711911429164","2006"
"316","west_siberia","39.0586288236189","2006"
"416","fenno","32.6290049006932","2006"
"516","alaska","31.5896204145225","2006"
"616","canada_tundra","25.6704230323199","2006"
"716","east_canada","33.5524069918134","2006"
"816","west_canada","35.1495486380206","2006"
"mean17","full","33.7732809361546","2007"
"127","Boreal","35.4399494955936","2007"
"227","Tundra","30.6954374200776","2007"
"1117","siberia_tundra","35.0270883661793","2007"
"2117","east_siberia","36.0705531463908","2007"
"317","west_siberia","38.1242485922995","2007"
"417","fenno","33.4301020156871","2007"
"517","alaska","33.3281203279669","2007"
"617","canada_tundra","25.4219839829241","2007"
"717","east_canada","33.2599619643666","2007"
"817","west_canada","33.3222340624013","2007"
"mean18","full","33.8125608707584","2008"
"128","Boreal","35.4323809199908","2008"
"228","Tundra","30.8229909747102","2008"
"1118","siberia_tundra","35.2453909726637","2008"
"2118","east_siberia","36.240532144524","2008"
"318","west_siberia","38.0529377821742","2008"
"418","fenno","32.7735907428614","2008"
"518","alaska","32.1282989471696","2008"
"618","canada_tundra","25.7972234827476","2008"
"718","east_canada","33.5957554972553","2008"
"818","west_canada","33.8715663480582","2008"
"mean19","full","33.9472481814714","2009"
"129","Boreal","35.8713979829413","2009"
"229","Tundra","30.3889157498705","2009"
"1119","siberia_tundra","34.3249290103836","2009"
"2119","east_siberia","36.6582262173304","2009"
"319","west_siberia","38.0516505605438","2009"
"419","fenno","33.1310150468521","2009"
"519","alaska","32.8706584517571","2009"
"619","canada_tundra","24.8968701154641","2009"
"719","east_canada","33.7671634478617","2009"
"819","west_canada","34.6702043686673","2009"
"mean20","full","33.8046472119585","2010"
"130","Boreal","35.6477321197538","2010"
"230","Tundra","30.3968333544698","2010"
"1120","siberia_tundra","34.0620470438652","2010"
"2120","east_siberia","36.040375116677","2010"
"320","west_siberia","39.6189602039263","2010"
"420","fenno","32.9407945772229","2010"
"520","alaska","32.380903482681","2010"
