"","area","mean","year"
"mean","full","-588.075257370908","1990"
"1","Boreal","-372.972288209782","1990"
"2","Tundra","-1009.78739305","1990"
"11","siberia_tundra","-1063.28644212101","1990"
"21","east_siberia","-749.91660912426","1990"
"3","west_siberia","-170.338411211389","1990"
"4","fenno","6.3946883973432","1990"
"5","alaska","-442.429377743776","1990"
"6","canada_tundra","-1354.6055229109","1990"
"7","east_canada","-242.362946737642","1990"
"8","west_canada","-431.493884466105","1990"
"mean1","full","-574.88977789132","1991"
"12","Boreal","-376.723783978867","1991"
"22","Tundra","-963.540545516191","1991"
"111","siberia_tundra","-1030.93238158111","1991"
"211","east_siberia","-812.482855370262","1991"
"31","west_siberia","-145.66699774826","1991"
"41","fenno","-6.05665352570511","1991"
"51","alaska","-335.658678379527","1991"
"61","canada_tundra","-1280.44400068135","1991"
"71","east_canada","-233.76109627294","1991"
"81","west_canada","-331.603105744191","1991"
"mean2","full","-638.228874822911","1992"
"13","Boreal","-421.479317925643","1992"
"23","Tundra","-1063.24253999606","1992"
"112","siberia_tundra","-1180.27167083753","1992"
"212","east_siberia","-828.719875425422","1992"
"32","west_siberia","-266.31482102411","1992"
"42","fenno","-63.0040129698687","1992"
"52","alaska","-448.644544221854","1992"
"62","canada_tundra","-1344.23216625408","1992"
"72","east_canada","-344.854829856918","1992"
"82","west_canada","-348.298878848595","1992"
"mean3","full","-573.126690493419","1993"
"14","Boreal","-374.898584157388","1993"
"24","Tundra","-961.83587225114","1993"
"113","siberia_tundra","-1069.62845791165","1993"
"213","east_siberia","-801.849056321046","1993"
"33","west_siberia","-156.593004440982","1993"
"43","fenno","-83.543173856045","1993"
"53","alaska","-195.740549060817","1993"
"63","canada_tundra","-1260.52730614181","1993"
"73","east_canada","-291.652281003185","1993"
"83","west_canada","-255.907374066042","1993"
"mean4","full","-615.939627614725","1994"
"15","Boreal","-422.772749419272","1994"
"25","Tundra","-994.817852953322","1994"
"114","siberia_tundra","-1131.05111573386","1994"
"214","east_siberia","-857.600867078463","1994"
"34","west_siberia","-227.992423969911","1994"
"44","fenno","-93.6029153556425","1994"
"54","alaska","-399.413935018126","1994"
"64","canada_tundra","-1208.20943033116","1994"
"74","east_canada","-237.27883102687","1994"
"84","west_canada","-345.190506599128","1994"
"mean5","full","-499.991561998597","1995"
