"","area","mean","year"
"mean","full","23.2190409106595","1990"
"1","Boreal","27.3022415699389","1990"
"2","Tundra","15.2401161864584","1990"
"11","siberia_tundra","13.8156152739557","1990"
"21","east_siberia","27.2945966972384","1990"
"3","west_siberia","29.9558739490169","1990"
"4","fenno","22.1995131005794","1990"
"5","alaska","26.56574369365","1990"
"6","canada_tundra","9.3747952897365","1990"
"7","east_canada","22.0094032825458","1990"
"8","west_canada","29.6034480765852","1990"
"mean1","full","22.5850252894522","1991"
"12","Boreal","26.4358541645605","1991"
"22","Tundra","15.0618157216477","1991"
"111","siberia_tundra","13.9933151560069","1991"
"211","east_siberia","24.9288266909319","1991"
"31","west_siberia","30.4876847340223","1991"
"41","fenno","21.6732795888969","1991"
"51","alaska","25.6168180264291","1991"
"61","canada_tundra","9.85218215271646","1991"
"71","east_canada","23.8080990195319","1991"
"81","west_canada","28.9645056549197","1991"
"mean2","full","21.2074760367351","1992"
"13","Boreal","24.9381737845406","1992"
"23","Tundra","13.9148347216872","1992"
"112","siberia_tundra","12.5019671562054","1992"
"212","east_siberia","24.9105684694116","1992"
"32","west_siberia","25.7547346389836","1992"
"42","fenno","22.2136489484311","1992"
"52","alaska","23.6210777381841","1992"
"62","canada_tundra","8.46605153285321","1992"
"72","east_canada","19.0725305895545","1992"
"82","west_canada","26.9814100244253","1992"
"mean3","full","21.7922310048119","1993"
"14","Boreal","25.3455871254789","1993"
"24","Tundra","14.846916191667","1993"
"113","siberia_tundra","13.2734008009234","1993"
"213","east_siberia","25.0461355038041","1993"
"33","west_siberia","28.3704135420339","1993"
"43","fenno","20.7044009121371","1993"
"53","alaska","26.6630553253514","1993"
"63","canada_tundra","8.91451823634506","1993"
"73","east_canada","20.7354813632024","1993"
"83","west_canada","27.8820527621289","1993"
"mean4","full","22.4426574917246","1994"
"15","Boreal","26.2892148998512","1994"
"25","Tundra","14.9247557061697","1994"
"114","siberia_tundra","13.0830473717283","1994"
"214","east_siberia","24.9047379757411","1994"
"34","west_siberia","28.4038680099047","1994"
"44","fenno","22.5955086161836","1994"
"54","alaska","25.0848118770954","1994"
"64","canada_tundra","10.142566710267","1994"
"74","east_canada","20.8298007482326","1994"
"84","west_canada","30.8441455874627","1994"
"mean5","full","22.8494927805418","1995"
"16","Boreal","26.8657475325896","1995"
"26","Tundra","15.0011793992737","1995"
"115","siberia_tundra","13.5692792753735","1995"
"215","east_siberia","24.9735957423751","1995"
"35","west_siberia","31.2403072899159","1995"
"45","fenno","23.286197159994","1995"
